month,n,frontier_p90
2024-06,38,28.332921916110397
2024-07,9,28.69298424896202
2024-08,4,30.810183807331235
2024-09,19,40.96510255071386
2024-10,11,38.74423639967271
2024-11,15,39.83787163089315
2024-12,17,40.31870789775397
2025-01,37,39.73983005883677
2025-02,33,41.32181900505526
2025-03,18,41.2745126186259
