scenario_id,budget_flops,context_length_tokens,g_function,q0_reference,betaQ_identified,betaQ_status,betaQ_first_positive_Q,betaQcrit_first_ND_reallocation,betaQ_units,fixed_Q0_baseline_run_id,fixed_Q0_baseline_loss,first_positive_Q_run_id,first_positive_Q_N_B,first_positive_Q_D_B,first_positive_Q_level,first_reallocated_run_id,first_reallocated_N_B,first_reallocated_D_B,first_reallocated_Q,conditional_envelope_segments,positive_Q_segments_on_envelope,B1_feasible_ND_points,model_scope,conditional_assumption
B1e19_C131072_exponential,10000000000000000000,131072,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.39834605895190733,validation-loss units per one Q-score unit,13,3.392088334710602,13,0.070542,4.194,0.5728251109319111,165,0.162405,1.074,1.0,2,2,16,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C131072_power4,10000000000000000000,131072,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.3963446241487757,validation-loss units per one Q-score unit,13,3.392088334710602,13,0.070542,4.194,0.5385494548931693,165,0.162405,1.074,0.967881463391958,3,3,16,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e19_C131072_logarithmic,10000000000000000000,131072,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.36430886318928496,validation-loss units per one Q-score unit,13,3.392088334710602,13,0.070542,4.194,0.5329143736613426,165,0.162405,1.074,1.0,2,2,16,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C2048_exponential,10000000000000000000000,2048,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.005721811554441557,validation-loss units per one Q-score unit,1043,2.1456111666541906,1043,6.86104,226.492,0.6036908495074896,1042,6.86104,224.395,0.7275606954579451,10,10,1060,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C2048_power4,10000000000000000000000,2048,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.007623748710178025,validation-loss units per one Q-score unit,1043,2.1456111666541906,1043,6.86104,226.492,0.5577473631334012,1042,6.86104,224.395,0.6507147395187204,12,12,1060,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C2048_logarithmic,10000000000000000000000,2048,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.004225399461298301,validation-loss units per one Q-score unit,1043,2.1456111666541906,1043,6.86104,226.492,0.5532525820575829,1041,6.86104,222.298,0.8907468616160004,3,3,1060,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C4096_exponential,10000000000000000000000,4096,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.00822715937738086,validation-loss units per one Q-score unit,1036,2.150758613533873,1036,6.86104,211.812,0.688901888343964,1035,6.86104,209.715,0.7828042460858317,8,8,1049,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C4096_power4,10000000000000000000000,4096,power4,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.009438309260899863,validation-loss units per one Q-score unit,1036,2.150758613533873,1036,6.86104,211.812,0.6188998712675302,1035,6.86104,209.715,0.7007524193986477,10,10,1049,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C4096_logarithmic,10000000000000000000000,4096,logarithmic,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.0039207213312874335,validation-loss units per one Q-score unit,1036,2.150758613533873,1036,6.86104,211.812,0.6401309258105728,1035,6.86104,209.715,0.8371736630459935,3,3,1049,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
B1e22_C8192_exponential,10000000000000000000000,8192,exponential,0.49847810484764643,false,finite_first_ND_reallocation,0.0,0.009420376769415118,validation-loss units per one Q-score unit,1025,2.159845165552461,1025,6.86104,188.744,0.724718761760326,1024,6.86104,186.647,0.8198428563954668,7,7,1032,conditional Q-only response; p excluded; B1/M0 support grid,"L_cond = L_M0(N,D) - beta_Q*(Q-Q0), beta_Q >= 0"
