source,n,Q_reference_median,N_min_B,N_max_B,D_min_B,D_max_B,Q_min,Q_max,E,A,alpha,B,beta,kappa,in_sample_RMSE,in_sample_MAE,LOO_Q_RMSE,LOO_Q_MAE,LOO_Q_levels,multistart_attempts,multistart_successful,near_optimal_count,near_optimal_parameter_spans_json,boundary_hits,boundary_hit_count,relative_SSE_spread,interpretation
B6_semi_synthetic,360,0.5,0.07,11.97,10.0,600.0,0.1,1.0,0.4117708878819905,0.540173037505359,0.27905390241329675,2.2093494474695397,0.06990220546882828,0.08503299838809368,0.07247113080332718,0.05634348536954974,0.08984020942405983,0.06903742193650073,8,54,54,54,"{""E"": {""min"": 0.4117525818418064, ""max"": 0.4117843963878649, ""absolute_span"": 3.18145460584951e-05, ""relative_span"": 7.72626093274142e-05}, ""A"": {""min"": 0.5401729813105103, ""max"": 0.5401730822663123, ""absolute_span"": 1.0095580205149446e-07, ""relative_span"": 1.8689529917065033e-07}, ""alpha"": {""min"": 0.2790538833987099, ""max"": 0.2790539264415409, ""absolute_span"": 4.304283102163353e-08, ""relative_span"": 1.542455806599352e-07}, ""B"": {""min"": 2.2093364691985173, ""max"": 2.2093669848176347, ""absolute_span"": 3.0515619117377213e-05, ""relative_span"": 1.3812041809244835e-05}, ""beta"": {""min"": 0.06990143653630497, ""max"": 0.0699027764587911, ""absolute_span"": 1.339922486132128e-06, ""relative_span"": 1.916851825898865e-05}, ""kappa"": {""min"": 0.08503207770737028, ""max"": 0.08503367562728552, ""absolute_span"": 1.5979199152332813e-06, ""relative_span"": 1.8791760028724174e-05}}",none,0,3.4990571728469707e-12,semi-synthetic/calibrated source-specific full curve; not real B1 effect
B8_calibrated,984,0.55,0.07,12.0,5.0,2000.0,0.05,1.0,0.08468771402941283,0.35917941002820597,0.33544179093519727,1.2828397665142794,0.05690255960164643,-1.1782546062349546,0.06366933578133115,0.04974974810642376,0.07036367751595078,0.053687679693636484,12,54,54,54,"{""E"": {""min"": 0.08468770920799758, ""max"": 0.08468776095092748, ""absolute_span"": 5.1742929899067924e-08, ""relative_span"": 6.109850663938997e-07}, ""A"": {""min"": 0.35917939716661806, ""max"": 0.3591794155631579, ""absolute_span"": 1.8396539847032045e-08, ""relative_span"": 5.121824794346638e-08}, ""alpha"": {""min"": 0.33544178686326226, ""max"": 0.335441800424229, ""absolute_span"": 1.3560966738435098e-08, ""relative_span"": 4.042718280820734e-08}, ""B"": {""min"": 1.2828397073240905, ""max"": 1.282839777331844, ""absolute_span"": 7.000775359422562e-08, ""relative_span"": 5.457248467594452e-08}, ""beta"": {""min"": 0.056902558895352666, ""max"": 0.05690256237796793, ""absolute_span"": 3.4826152656153297e-09, ""relative_span"": 6.120313928292376e-08}, ""kappa"": {""min"": -1.1782546834046699, ""max"": -1.1782545925989683, ""absolute_span"": 9.080570162467438e-08, ""relative_span"": 7.706797956173706e-08}}",none,0,5.86712173761493e-14,semi-synthetic/calibrated source-specific full curve; not real B1 effect
B8_extrapolated_diagnostic_only,720,0.55,20.0,700.0,5.0,2000.0,0.05,1.0,0.2664949456888848,0.4512083243522124,0.22817096055468258,0.7866487615568597,0.06608357997129732,-1.8703107158698635,0.07188465458285967,0.05879066500552206,0.08747955412630933,0.07259864667411144,12,54,54,54,"{""E"": {""min"": 0.2664944323375648, ""max"": 0.2664956465671646, ""absolute_span"": 1.2142295998107677e-06, ""relative_span"": 4.556293335769728e-06}, ""A"": {""min"": 0.4512082708659666, ""max"": 0.45120839459598083, ""absolute_span"": 1.23730014234269e-07, ""relative_span"": 2.7421925858233657e-07}, ""alpha"": {""min"": 0.22817020287004777, ""max"": 0.22817203358459615, ""absolute_span"": 1.8307145483731357e-06, ""relative_span"": 8.02342853264809e-06}, ""B"": {""min"": 0.7866487287838266, ""max"": 0.7866488220564004, ""absolute_span"": 9.327257377567122e-08, ""relative_span"": 1.1856953022612423e-07}, ""beta"": {""min"": 0.0660835778307456, ""max"": 0.06608358106485412, ""absolute_span"": 3.2341085226539334e-09, ""relative_span"": 4.893966883783115e-08}, ""kappa"": {""min"": -1.8703107900592801, ""max"": -1.8703105780655458, ""absolute_span"": 2.119937343447731e-07, ""relative_span"": 1.133467994275489e-07}}",none,0,1.760586488491036e-13,semi-synthetic/calibrated source-specific full curve; not real B1 effect
