q_response_source,kappa_Q_B1_anchored,quality_cost_function,budget_flops,context_length_tokens,source_support_grid_points,feasible_grid_points,source_N_min_B,source_N_max_B,source_D_min_B,source_D_max_B,global_M0_run_id,status,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,restricted_M0_run_id,restricted_M0_loss,delta_N_B_vs_restricted_M0,delta_D_B_vs_restricted_M0,delta_Q_vs_Q0,delta_loss_vs_restricted_M0,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_residual_flops,N_D_changed_vs_restricted_M0,at_Q0_boundary
B6_semi_synthetic,0.38300064456112093,exponential,10000000000000000000000,131072,1112,729,0.07,11.97,10.0,600.0,834,FEASIBLE,832,2.782831,106.955,1.0,2.196673837495215,834,2.271590563800825,0.0,-4.194000000000003,0.5015218951523536,-0.07491672630560986,1785826137630000000000,4.102000517061916e+20,7.802393450381312e+21,9.998419639717503e+21,0.9998419639717503,1.5803602824970895e+18,True,False
B6_semi_synthetic,0.38300064456112093,exponential,1000000000000000000000000,131072,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.1501671180059362e+21,9.406951343325183e+22,1.1675048349160776e+23,0.11675048349160777,8.832495165083923e+23,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,2048,1112,6,0.07,11.97,10.0,600.0,169,FEASIBLE,21,0.070542,20.972,0.508155424391283,3.0870543338947805,21,3.090937259262238,0.0,0.0,0.009677319543636598,-0.0038829253674577124,8876440944000000000,5.1759402088959443e+17,6.059650351104e+17,9.999999999999994e+18,0.9999999999999993,6144.0,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,2048,1112,996,0.07,11.97,10.0,600.0,1043,FEASIBLE,1033,6.86104,205.521,0.9994504907315559,2.087759109081934,1043,2.1456111666541906,0.0,-20.971000000000004,0.5009723858839095,-0.057852057572256754,8460526811040000000000,9.619012253263363e+20,5.77571963633664e+20,1e+22,1.0,0.0,True,False
B6_semi_synthetic,0.38300064456112093,power4,1000000000000000000000000,2048,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.4068842528081754e+21,1.46983614739456e+21,2.440752334055274e+22,0.02440752334055274,9.755924766594472e+23,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,4096,1112,5,0.07,11.97,10.0,600.0,169,FEASIBLE,20,0.070542,18.874,0.5171030672051136,3.099177374965375,20,3.1067815834917885,0.0,0.0,0.018624962357467134,-0.007604208526413636,7988458248000000000,9.208509192063967e+17,1.0906908327936e+18,9.999999999999996e+18,0.9999999999999996,4096.0,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,4096,1112,985,0.07,11.97,10.0,600.0,1036,FEASIBLE,1027,6.86104,192.938,1.0,2.0915317235926563,1036,2.150758613533873,0.0,-18.874000000000024,0.5015218951523536,-0.05922688994121694,7942532013120000000000,9.051276087414636e+20,1.084420370857984e+21,9.932079992719448e+21,0.9932079992719448,6.792000728055205e+19,True,False
B6_semi_synthetic,0.38300064456112093,power4,1000000000000000000000000,4096,1112,1112,0.07,11.97,10.0,600.0,1232,FEASIBLE,1232,11.965825,299.893,1.0,2.0345498945089004,1232,2.093379471491827,0.0,0.0,0.5015218951523536,-0.05882957698292657,21530802940350000000000,1.4068842528081754e+21,2.93967229478912e+21,2.58773594879473e+22,0.0258773594879473,9.741226405120527e+23,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000,8192,1112,4,0.07,11.97,10.0,600.0,168,FEASIBLE,19,0.070542,16.777,0.5201272245263787,3.115949520513544,19,3.125047735324993,0.0,0.0,0.021649119678732287,-0.009098214811448901,7100898804000000000,9.600824292543976e+17,1.9390187667456e+18,9.999999999999998e+18,0.9999999999999998,2048.0,False,False
B6_semi_synthetic,0.38300064456112093,power4,10000000000000000000000,8192,1112,968,0.07,11.97,10.0,600.0,1025,FEASIBLE,1018,6.86104,174.064,1.0,2.0978987672273717,1025,2.159845165552461,0.0,-14.680000000000007,0.5015218951523536,-0.06194639832508919,7165560399360000000000,8.165842503186211e+20,1.956675693051904e+21,9.938820342730524e+21,0.9938820342730524,6.11796572694758e+19,True,False
