origin_month,target_month,method,observed_p90,predicted_p90,error_pred_minus_observed,absolute_error,training_reliable_months
2024-10,2024-11,linear_time_trend,39.83787163089315,43.94443912852641,4.1065674976332645,4.1065674976332645,3
2024-10,2024-11,last_value,39.83787163089315,38.74423639967271,-1.0936352312204392,1.0936352312204392,3
2024-11,2024-12,linear_time_trend,40.31870789775397,44.13172182001777,3.8130139222638064,3.8130139222638064,4
2024-11,2024-12,last_value,40.31870789775397,39.83787163089315,-0.4808362668608197,0.4808362668608197,4
2024-12,2025-01,linear_time_trend,39.73983005883677,44.28869795901137,4.548867900174599,4.548867900174599,5
2024-12,2025-01,last_value,39.73983005883677,40.31870789775397,0.5788778389171938,0.5788778389171938,5
2025-01,2025-02,linear_time_trend,41.32181900505526,43.88377195770747,2.561952952652206,2.561952952652206,6
2025-01,2025-02,last_value,41.32181900505526,39.73983005883677,-1.5819889462184875,1.5819889462184875,6
2025-02,2025-03,linear_time_trend,41.2745126186259,44.22463378400699,2.9501211653810913,2.9501211653810913,7
2025-02,2025-03,last_value,41.2745126186259,41.32181900505526,0.047306386429362135,0.047306386429362135,7
