scope,term,estimate,hc3_se,ci95_low,ci95_high,n_models,r_squared
complete_core6_month_n_ge_20,intercept,20.545395483297526,2.4103858426696725,15.821039231664969,25.269751734930082,783,0.6462763881429596
complete_core6_month_n_ge_20,log10_params_B,33.6678852075923,1.0706968489172517,31.569319383714486,35.76645103147011,783,0.6462763881429596
complete_core6_month_n_ge_20,type[domain_finetuned],1.3965700650223063,2.065618820553084,-2.6520428232617377,5.44518295330635,783,0.6462763881429596
complete_core6_month_n_ge_20,type[merge],10.75813322601745,2.0195905146804662,6.799735817243736,14.716530634791162,783,0.6462763881429596
complete_core6_month_n_ge_20,type[other_rare],-3.9250818466773723,3.4871941416464542,-10.759982364304422,2.9098186709496776,783,0.6462763881429596
complete_core6_month_n_ge_20,type[pretrained],-0.7503570238866217,3.30249237319001,-7.223242075339042,5.722528027565798,783,0.6462763881429596
complete_core6_month_n_ge_20,month[2024-12],5.832440150052932,1.8235862741470628,2.258211052724689,9.406669247381174,783,0.6462763881429596
complete_core6_month_n_ge_20,month[2025-01],0.8970624995570944,1.9072951164669636,-2.841235928718154,4.635360927832343,783,0.6462763881429596
complete_core6_month_n_ge_20,month[2025-02],-1.1620443967219387,2.0507503919423278,-5.181515164928901,2.8574263714850234,783,0.6462763881429596
complete_core6_month_n_ge_20,month[2025-03],1.6507810411679174,2.1686076300298422,-2.5996899136905736,5.901251996026408,783,0.6462763881429596
common_parameter_support_early_late_p05_p95,intercept,15.330188116103159,2.851791874798901,9.740676041497313,20.919700190709005,645,
common_parameter_support_early_late_p05_p95,log10_params_B,40.775520907560136,1.9603768503118386,36.933182280948934,44.61785953417134,645,
common_parameter_support_early_late_p05_p95,type[domain_finetuned],0.8309127877662839,2.1821128246650514,-3.446028348577217,5.107853924109785,645,
common_parameter_support_early_late_p05_p95,type[merge],10.170894657308274,2.120725950920463,6.014271793504166,14.327517521112382,645,
common_parameter_support_early_late_p05_p95,type[other_rare],-6.325437015803171,3.658248125830512,-13.495603342430975,0.8447293108246328,645,
common_parameter_support_early_late_p05_p95,type[pretrained],0.4433930854575916,4.239462412923807,-7.86595324387307,8.752739414788254,645,
common_parameter_support_early_late_p05_p95,month[2024-12],5.481634991642821,1.9610975403473587,1.6378838125619977,9.325386170723643,645,
common_parameter_support_early_late_p05_p95,month[2025-01],-1.2523818486215674,2.0803776424540907,-5.329922027831585,2.82515833058845,645,
common_parameter_support_early_late_p05_p95,month[2025-02],-1.8189275135702445,2.157415984527587,-6.047462843244315,2.4096078161038257,645,
common_parameter_support_early_late_p05_p95,month[2025-03],2.101698163221556,2.249481586593974,-2.3072857465026333,6.5106820729457455,645,
