scenario,scenario_label_zh,c4_annual_compute_growth_multiplier,compute_multiplier_12m,compute_multiplier_24m,parameter_multiplier_12m_assuming_N_proportional_C_half,parameter_multiplier_24m_assuming_N_proportional_C_half,scenario_basis,c4_2022_scalar_n,c4_2022_confident_scalar_n,c4_2022_compute_p90_FLOP,c4_2023_scalar_n,c4_2023_confident_scalar_n,c4_2023_compute_p90_FLOP,c4_2024_scalar_n,c4_2024_confident_scalar_n,c4_2024_compute_p90_FLOP
historical_rate,历史速度延续,2.5819507232049395,2.5819507232049395,6.66646953705851,1.6068449592928806,2.5819507232049395,"log-linear trend of C4 annual training-compute P90, 2022-2024; scenario only, not C1 matched compute",130,93,3.54910494505e+23,229,158,6.508000000000026e+23,310,245,2.366000000000006e+24
half_log_growth,中度放缓,1.6068449592928806,1.6068449592928806,2.581950723204939,1.2676138841511955,1.6068449592928806,"log-linear trend of C4 annual training-compute P90, 2022-2024; scenario only, not C1 matched compute",130,93,3.54910494505e+23,229,158,6.508000000000026e+23,310,245,2.366000000000006e+24
flat_compute,强放缓,1.0,1.0,1.0,1.0,1.0,"log-linear trend of C4 annual training-compute P90, 2022-2024; scenario only, not C1 matched compute",130,93,3.54910494505e+23,229,158,6.508000000000026e+23,310,245,2.366000000000006e+24
