method,origins,MAE,median_absolute_error
AR1,2,0.82069268459664,0.82069268459664
last_value,5,0.7565289339292605,0.5788778389171938
linear_time_trend,5,3.5961046876211826,3.813013922264389
size_time_C4_ref,5,1.2625982145488224,1.003599460577611
