origin_month,target_month,method,predicted_p90,observed_p90,error_pred_minus_observed,absolute_error,train_frontier_months,train_model_rows,target_frontier_models_n,c4_latest_complete_year_used,c4_years_used,c4_annual_growth_multiplier_used
2024-10,2024-11,last_value,38.74423639967271,39.83787163089315,-1.0936352312204392,1.0936352312204392,3,81,15,,,
2024-10,2024-11,linear_time_trend,43.94443912852762,39.83787163089315,4.106567497634472,4.106567497634472,3,81,15,,,
2024-10,2024-11,size_time_C4_ref,40.56447675694278,39.83787163089315,0.726605126049634,0.726605126049634,3,81,15,2023.0,"2022,2023",1.8337017644622873
2024-11,2024-12,last_value,39.83787163089315,40.31870789775397,-0.4808362668608197,0.4808362668608197,4,96,17,,,
2024-11,2024-12,linear_time_trend,44.131721820018356,40.31870789775397,3.813013922264389,3.813013922264389,4,96,17,,,
2024-11,2024-12,size_time_C4_ref,41.76788017169154,40.31870789775397,1.4491722739375703,1.4491722739375703,4,96,17,2023.0,"2022,2023",1.8337017644622873
2024-12,2025-01,last_value,40.31870789775397,39.73983005883677,0.5788778389171938,0.5788778389171938,5,113,37,,,
2024-12,2025-01,linear_time_trend,44.28869795901119,39.73983005883677,4.548867900174415,4.548867900174415,5,113,37,,,
2024-12,2025-01,size_time_C4_ref,42.51461556988101,39.73983005883677,2.774785511044236,2.774785511044236,5,113,37,2023.0,"2022,2023",1.8337017644622873
2025-01,2025-02,last_value,39.73983005883677,41.32181900505526,-1.5819889462184875,1.5819889462184875,6,150,33,,,
2025-01,2025-02,linear_time_trend,43.88377195770738,41.32181900505526,2.5619529526521205,2.5619529526521205,6,150,33,,,
2025-01,2025-02,size_time_C4_ref,40.9629903039202,41.32181900505526,-0.35882870113506016,0.35882870113506016,6,150,33,2024.0,"2022,2023,2024",2.5819507232049395
2025-02,2025-03,last_value,41.32181900505526,41.2745126186259,0.047306386429362135,0.047306386429362135,7,183,18,,,
2025-02,2025-03,linear_time_trend,44.224633784006414,41.2745126186259,2.9501211653805157,2.9501211653805157,7,183,18,,,
2025-02,2025-03,size_time_C4_ref,42.27811207920351,41.2745126186259,1.003599460577611,1.003599460577611,7,183,18,2024.0,"2022,2023,2024",2.5819507232049395
2025-01,2025-02,AR1,39.804663011102754,41.32181900505526,-1.5171559939525068,1.5171559939525068,8,150,33,,,
2025-02,2025-03,AR1,41.150283243385125,41.2745126186259,-0.12422937524077327,0.12422937524077327,9,183,18,,,
