split,role,model,target,n,mae,rmse,r2,spearman_rho
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_hackernews_val_loss,96,0.19982542223723102,0.24269499675460418,0.5598194126328752,0.793407487791644
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,96,0.2124125371508645,0.2807863591903871,0.7095049697265303,0.916223548562127
p1_train_slice,smoke_in_sample,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,96,0.24243055390266366,0.27551753874316537,0.7047596842854956,0.9026315789473685
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_arxiv_val_loss,96,0.5639538096220944,0.7487711332327892,0.5285843255986802,0.8118014107433532
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_freelaw_val_loss,96,0.43840014816292605,0.5034215063050274,0.5925730657109366,0.8575013564839935
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,96,0.48674978520407075,0.5727384540040166,0.5468883279820771,0.8188686923494303
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,96,0.23154449102605404,0.2804626043968623,0.6931195511756205,0.859142702116115
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,96,1.3929875460711376,1.4641092736099395,0.12236868807878176,0.5041644058600109
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_github_val_loss,96,0.5519318677444592,0.7615764778114701,0.45987196528787955,0.8433803581117743
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,96,0.38957636739885554,0.5208925819954543,0.5348525636744914,0.867308735756918
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,96,0.2031689085951509,0.26188438689761917,0.6466650898500319,0.8403553988062941
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,96,0.12028465278522281,0.15007737897772813,0.767141185880527,0.8965545306565382
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,96,0.8776819180570002,0.9586432167585608,0.17430000018931402,0.5023602821486707
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_hackernews_val_loss,96,0.21492383733329656,0.26309635480545585,0.4827042611393616,0.7383749321758003
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,96,0.22047639429789526,0.30260698299279476,0.6626003816572987,0.9204150841020076
p1_train_slice,smoke_in_sample,simplex_huber_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,96,0.25509135643151454,0.28606754985210414,0.6817163327377324,0.895971242539338
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_arxiv_val_loss,96,0.12910016418881987,0.19566836693874698,0.9678080656619243,0.9837221920781335
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_freelaw_val_loss,96,0.08654262938115354,0.11530377823218677,0.9786266162620667,0.9915491047205643
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_pubmed_central_val_loss,96,0.09779838464595521,0.1319586502237427,0.9759470530716015,0.9912506782419968
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_wikipedia_en_val_loss,96,0.04317587985385384,0.062028988940409494,0.9849890319677657,0.9919153553988063
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_dm_mathematics_val_loss,96,0.21962188489657383,0.3321978155278959,0.9548187053608598,0.9619099294628324
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_github_val_loss,96,0.12930281648108707,0.2051511531855676,0.960806179371778,0.9825013564839935
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_stackexchange_val_loss,96,0.08909043088384283,0.13289258437929174,0.9697241893222555,0.9853499728703201
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_gutenberg_pg_19_val_loss,96,0.037816239545635545,0.055337060197623314,0.9842239054374733,0.9892837764514378
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_pile_cc_val_loss,96,0.02077317508382794,0.03150835891537314,0.9897360677547501,0.9954015192620727
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_ubuntu_irc_val_loss,96,0.12571606726098247,0.17885151657427034,0.971259552134425,0.983532284319045
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_hackernews_val_loss,96,0.03632248141509802,0.05891279369950712,0.9740624784571615,0.991332067281606
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_pubmed_abstracts_val_loss,96,0.032326958837127606,0.04921313160162084,0.9910762232076926,0.9962425393380359
p1_train_slice,smoke_in_sample,quadratic_ridge_sensitivity,metric/the_pile_uspto_backgrounds_val_loss,96,0.04173447587649153,0.06326338961771559,0.9844338190113704,0.9879408572978838
