lambda,standardized_mse
0.0,0.402731099922344
1e-06,0.40249555215926563
3.162277660168379e-06,0.4022129611477831
1e-05,0.4018652397363788
3.1622776601683795e-05,0.40164787402071234
0.0001,0.40252378893729934
0.00031622776601683794,0.408929288280229
0.001,0.429172999517893
0.0031622776601683794,0.46243755928741476
0.01,0.5106517634817533
0.03162277660168379,0.6062868995590877
0.1,0.7508502805261787
0.31622776601683794,0.8807259426913773
1.0,0.9584368975972174
3.1622776601683795,0.993284443177651
10.0,1.00570588769727
