split,role,model,target,n,mae,rmse,r2,spearman_rho,variant,nested_macro_normalized_rmse,outer_selected_lambdas,outer_selected_models
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_dm_mathematics_val_loss,512,1.1080359532492703,1.2092532587823899,0.37804485336718396,0.714517368621325,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_github_val_loss,512,0.5829161734242337,0.7191580655801001,0.535965480295787,0.8088330486604639,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_stackexchange_val_loss,512,0.42341001771503756,0.5258397910783122,0.540308697147729,0.8043193207047299,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_gutenberg_pg_19_val_loss,512,0.19321370258977466,0.24757471878418455,0.6762190962213513,0.8772229339043957,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_pile_cc_val_loss,512,0.12949153560541624,0.1593343457604875,0.7527339239792499,0.8839544995479567,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_ubuntu_irc_val_loss,512,0.6196221367826642,0.7071081019672283,0.5265307941053842,0.7581972196472917,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_hackernews_val_loss,512,0.16246101360660395,0.2017467110759634,0.652708579917527,0.8336753162872935,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_pubmed_abstracts_val_loss,512,0.23422948460127332,0.30378297349294836,0.730009420471838,0.9093986571737563,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,reference_ols,metric/the_pile_uspto_backgrounds_val_loss,512,0.2351895129484733,0.2807474281602881,0.7203039564584934,0.8647142256325746,closed,0.634226726457778,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_arxiv_val_loss,512,0.5740741976367878,0.7308933319417472,0.4803862949701574,0.7644361510225335,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_freelaw_val_loss,512,0.43222304611357665,0.5006233435263886,0.5919007884059081,0.8076156787516737,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_pubmed_central_val_loss,512,0.5005648711308159,0.5889945283006858,0.5223582450131834,0.7765411852977192,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_wikipedia_en_val_loss,512,0.24843796293385975,0.30152050425283944,0.6749689175064443,0.8485190752280244,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_dm_mathematics_val_loss,512,1.1134686495128312,1.2071686403526285,0.380187368356377,0.7167264443929459,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_github_val_loss,512,0.5831760444849319,0.7176954248671109,0.5378510896467352,0.8161264498289101,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_stackexchange_val_loss,512,0.42198904374944424,0.5252273664328717,0.5413788418827405,0.8088153460134354,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_gutenberg_pg_19_val_loss,512,0.1923133910890281,0.24721049506742024,0.677171066910325,0.8786993167851135,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_pile_cc_val_loss,512,0.12958891106757492,0.1592964296106802,0.7528515917931237,0.8839923188393358,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_ubuntu_irc_val_loss,512,0.6283442622128012,0.7074147668344863,0.5261200284649036,0.7580496975887207,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_hackernews_val_loss,512,0.1623887586087184,0.20161874220356635,0.6531490172971024,0.8324830698321145,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_pubmed_abstracts_val_loss,512,0.23406397693739103,0.3032026525311473,0.731039968931001,0.9111745545370274,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,simplex_ridge,metric/the_pile_uspto_backgrounds_val_loss,512,0.23578425911516543,0.2805697671506737,0.720657835809701,0.8668346987617446,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_arxiv_val_loss,512,0.5740741976367878,0.7308933319417472,0.4803862949701574,0.7644361510225335,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_freelaw_val_loss,512,0.43222304611357665,0.5006233435263886,0.5919007884059081,0.8076156787516737,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_pubmed_central_val_loss,512,0.5005648711308159,0.5889945283006858,0.5223582450131834,0.7765411852977192,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_wikipedia_en_val_loss,512,0.24843796293385975,0.30152050425283944,0.6749689175064443,0.8485190752280244,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_dm_mathematics_val_loss,512,1.1134686495128312,1.2071686403526285,0.380187368356377,0.7167264443929459,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_github_val_loss,512,0.5831760444849319,0.7176954248671109,0.5378510896467352,0.8161264498289101,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_stackexchange_val_loss,512,0.42198904374944424,0.5252273664328717,0.5413788418827405,0.8088153460134354,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_gutenberg_pg_19_val_loss,512,0.1923133910890281,0.24721049506742024,0.677171066910325,0.8786993167851135,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_pile_cc_val_loss,512,0.12958891106757492,0.1592964296106802,0.7528515917931237,0.8839923188393358,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_ubuntu_irc_val_loss,512,0.6283442622128012,0.7074147668344863,0.5261200284649036,0.7580496975887207,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_hackernews_val_loss,512,0.1623887586087184,0.20161874220356635,0.6531490172971024,0.8324830698321145,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_pubmed_abstracts_val_loss,512,0.23406397693739103,0.3032026525311473,0.731039968931001,0.9111745545370274,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_closed,out_of_fold,nested_selected,metric/the_pile_uspto_backgrounds_val_loss,512,0.23578425911516543,0.2805697671506737,0.720657835809701,0.8668346987617446,closed,0.6330482361236224,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_arxiv_val_loss,512,0.8149455182431038,1.0156176597538362,-0.003305251533125775,-0.06320553484627416,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_freelaw_val_loss,512,0.675500125049473,0.7849108831169125,-0.0031924719329434748,-0.07070439762366026,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_pubmed_central_val_loss,512,0.7429418239394237,0.8552522536960706,-0.0070898511726456,-0.11736345087204647,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_wikipedia_en_val_loss,512,0.4396830379640576,0.5298785610616383,-0.0037923678993432297,-0.0664481815023436,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_dm_mathematics_val_loss,512,1.4465613916490285,1.53719661242288,-0.005040054950906647,-0.09133399236959688,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
nested_cv_raw,out_of_fold,mean,metric/the_pile_github_val_loss,512,0.8642513275522201,1.0568629258238,-0.0021642465046418646,-0.06382417037989048,raw,1.002920333223083,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]","[""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge"", ""simplex_ridge""]"
