index,target,irls_weight,downweighted
8,metric/the_pile_pile_cc_val_loss,1.0,False
8,metric/the_pile_ubuntu_irc_val_loss,1.0,False
8,metric/the_pile_hackernews_val_loss,1.0,False
8,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
8,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
9,metric/the_pile_arxiv_val_loss,1.0,False
9,metric/the_pile_freelaw_val_loss,1.0,False
9,metric/the_pile_pubmed_central_val_loss,1.0,False
9,metric/the_pile_wikipedia_en_val_loss,1.0,False
9,metric/the_pile_dm_mathematics_val_loss,1.0,False
9,metric/the_pile_github_val_loss,0.8931589481909644,True
9,metric/the_pile_stackexchange_val_loss,0.9851472637244257,True
9,metric/the_pile_gutenberg_pg_19_val_loss,0.7601040424068347,True
9,metric/the_pile_pile_cc_val_loss,1.0,False
9,metric/the_pile_ubuntu_irc_val_loss,1.0,False
9,metric/the_pile_hackernews_val_loss,0.6953073511605858,True
9,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
9,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
10,metric/the_pile_arxiv_val_loss,1.0,False
10,metric/the_pile_freelaw_val_loss,1.0,False
10,metric/the_pile_pubmed_central_val_loss,1.0,False
10,metric/the_pile_wikipedia_en_val_loss,1.0,False
10,metric/the_pile_dm_mathematics_val_loss,1.0,False
10,metric/the_pile_github_val_loss,1.0,False
10,metric/the_pile_stackexchange_val_loss,1.0,False
10,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
10,metric/the_pile_pile_cc_val_loss,1.0,False
10,metric/the_pile_ubuntu_irc_val_loss,1.0,False
10,metric/the_pile_hackernews_val_loss,1.0,False
10,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
10,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
11,metric/the_pile_arxiv_val_loss,0.8473723478063722,True
11,metric/the_pile_freelaw_val_loss,1.0,False
11,metric/the_pile_pubmed_central_val_loss,1.0,False
11,metric/the_pile_wikipedia_en_val_loss,1.0,False
11,metric/the_pile_dm_mathematics_val_loss,1.0,False
11,metric/the_pile_github_val_loss,1.0,False
11,metric/the_pile_stackexchange_val_loss,1.0,False
11,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
11,metric/the_pile_pile_cc_val_loss,1.0,False
11,metric/the_pile_ubuntu_irc_val_loss,1.0,False
11,metric/the_pile_hackernews_val_loss,1.0,False
11,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
11,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
12,metric/the_pile_arxiv_val_loss,1.0,False
12,metric/the_pile_freelaw_val_loss,1.0,False
12,metric/the_pile_pubmed_central_val_loss,1.0,False
12,metric/the_pile_wikipedia_en_val_loss,1.0,False
12,metric/the_pile_dm_mathematics_val_loss,1.0,False
12,metric/the_pile_github_val_loss,1.0,False
12,metric/the_pile_stackexchange_val_loss,1.0,False
12,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
12,metric/the_pile_pile_cc_val_loss,1.0,False
12,metric/the_pile_ubuntu_irc_val_loss,1.0,False
12,metric/the_pile_hackernews_val_loss,1.0,False
12,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
12,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
13,metric/the_pile_arxiv_val_loss,1.0,False
13,metric/the_pile_freelaw_val_loss,1.0,False
13,metric/the_pile_pubmed_central_val_loss,1.0,False
13,metric/the_pile_wikipedia_en_val_loss,1.0,False
13,metric/the_pile_dm_mathematics_val_loss,1.0,False
13,metric/the_pile_github_val_loss,1.0,False
13,metric/the_pile_stackexchange_val_loss,1.0,False
13,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
13,metric/the_pile_pile_cc_val_loss,1.0,False
13,metric/the_pile_ubuntu_irc_val_loss,1.0,False
13,metric/the_pile_hackernews_val_loss,1.0,False
13,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
13,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
14,metric/the_pile_arxiv_val_loss,1.0,False
14,metric/the_pile_freelaw_val_loss,1.0,False
14,metric/the_pile_pubmed_central_val_loss,1.0,False
14,metric/the_pile_wikipedia_en_val_loss,1.0,False
14,metric/the_pile_dm_mathematics_val_loss,1.0,False
14,metric/the_pile_github_val_loss,1.0,False
14,metric/the_pile_stackexchange_val_loss,1.0,False
14,metric/the_pile_gutenberg_pg_19_val_loss,1.0,False
14,metric/the_pile_pile_cc_val_loss,1.0,False
14,metric/the_pile_ubuntu_irc_val_loss,1.0,False
14,metric/the_pile_hackernews_val_loss,1.0,False
14,metric/the_pile_pubmed_abstracts_val_loss,1.0,False
14,metric/the_pile_uspto_backgrounds_val_loss,1.0,False
15,metric/the_pile_arxiv_val_loss,1.0,False
15,metric/the_pile_freelaw_val_loss,1.0,False
15,metric/the_pile_pubmed_central_val_loss,1.0,False
15,metric/the_pile_wikipedia_en_val_loss,1.0,False
15,metric/the_pile_dm_mathematics_val_loss,1.0,False
15,metric/the_pile_github_val_loss,1.0,False
15,metric/the_pile_stackexchange_val_loss,1.0,False
