replicate,sampled_cluster_sequence,E,A,alpha,B,beta,sse
16,EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-12b,1.689777249968081,0.3539719600975128,0.33998187389461615,1.2403452770558905,0.27986639720036005,2.5227073811075234e-05
17,EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-12b;EleutherAI/pythia-160m,1.6898259921403274,0.3538786016528392,0.34007842165602414,1.2403659843390515,0.2798472000278742,2.214778979560386e-05
18,EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-160m;EleutherAI/pythia-1b,1.6898639878004031,0.3538666885260673,0.3400915910713262,1.2403369931812034,0.27986265196299326,2.17835827517773e-05
19,EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-70m,1.6899032060729755,0.35396477105543267,0.33998406739145093,1.2401603357767863,0.27991403479442234,3.094097940055736e-05
20,EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-160m;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-2.8b;EleutherAI/pythia-1b;EleutherAI/pythia-160m,1.6899136102938277,0.3537396655367165,0.3401782899897635,1.2404471642221069,0.2798279003758828,2.509459700302637e-05
21,EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-2.8b;EleutherAI/pythia-1.4b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-2.8b,1.6898447906753897,0.35393339694928727,0.3400044375050174,1.240278709662546,0.2798779636914166,2.1150264246676487e-05
22,EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1b;EleutherAI/pythia-410m,1.6898247281512464,0.35398625471019973,0.3399721236087253,1.2401986705371746,0.2798846291126898,3.2407283915445695e-05
23,EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-1.4b;EleutherAI/pythia-70m;EleutherAI/pythia-410m;EleutherAI/pythia-160m,1.6898765339752233,0.35403972801640826,0.33993327240195464,1.2401525725718265,0.27993892165634954,3.296416586398342e-05
24,EleutherAI/pythia-70m;EleutherAI/pythia-160m;EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-12b,1.6897739014436353,0.35404536079380095,0.3399256592626477,1.2402904578607932,0.2798924286579852,3.0139709003229435e-05
25,EleutherAI/pythia-1.4b;EleutherAI/pythia-410m;EleutherAI/pythia-70m;EleutherAI/pythia-12b;EleutherAI/pythia-410m;EleutherAI/pythia-12b;EleutherAI/pythia-160m;EleutherAI/pythia-2.8b,1.6897898310057329,0.3539811135213406,0.33997316309433095,1.2403503233346993,0.2798793850109237,2.330117797241484e-05
26,EleutherAI/pythia-70m;EleutherAI/pythia-12b;EleutherAI/pythia-1b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-160m,1.6897665445067351,0.353974552971831,0.33998046902285095,1.2403489741347142,0.27986171333690557,2.5038516747567455e-05
27,EleutherAI/pythia-12b;EleutherAI/pythia-2.8b;EleutherAI/pythia-6.9b;EleutherAI/pythia-12b;EleutherAI/pythia-1.4b;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-1.4b,1.6898550038799192,0.3539069142765848,0.3400465741470923,1.2403257570826827,0.2798768165990941,1.8304971635622762e-05
28,EleutherAI/pythia-12b;EleutherAI/pythia-12b;EleutherAI/pythia-410m;EleutherAI/pythia-160m;EleutherAI/pythia-12b;EleutherAI/pythia-6.9b;EleutherAI/pythia-160m;EleutherAI/pythia-410m,1.6898103476926558,0.3538875629621084,0.34007254519119773,1.2404338367946461,0.2798567394481057,2.1362980381743045e-05
29,EleutherAI/pythia-2.8b;EleutherAI/pythia-160m;EleutherAI/pythia-1.4b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m;EleutherAI/pythia-1b;EleutherAI/pythia-410m;EleutherAI/pythia-70m,1.689764802988303,0.3539835131241777,0.33997348383713394,1.2403345713739928,0.2798626766383492,2.5614515964563354e-05
30,EleutherAI/pythia-70m;EleutherAI/pythia-6.9b;EleutherAI/pythia-2.8b;EleutherAI/pythia-2.8b;EleutherAI/pythia-410m;EleutherAI/pythia-410m;EleutherAI/pythia-2.8b;EleutherAI/pythia-12b,1.6897772826271726,0.3539838725013953,0.33996695676044186,1.2403075259308916,0.2798635636522322,2.1117157619930923e-05
