parameter,estimate,lower_95,upper_95,bootstrap_median
E,1.689797562928721,1.6896449977159096,1.6899624949355871,1.6898135280085076
A,0.353980320664689,0.3538432703971348,0.3541249393687383,0.3539675838405605
alpha,0.33997658189675806,0.3398314843053064,0.3401154853953109,0.33998356119983736
B,1.240305583540225,1.2401602298953889,1.2404340508734026,1.2403106307697174
beta,0.27987812854769506,0.2798234574722041,0.27993739665665157,0.2798781682075653
