comparison_axis,from_budget_flops,from_context_tokens,to_budget_flops,to_context_tokens,from_run_id,to_run_id,N_B_from,N_B_to,N_B_absolute_change,N_B_relative_change,D_B_from,D_B_to,D_B_absolute_change,D_B_relative_change,m0_loss_from,m0_loss_to,m0_loss_change,train_share_from,train_share_to,attention_share_from,attention_share_to,cost_share_total_variation,configuration_changed,support_bound_at_to_scenario,interpretation
context_at_fixed_budget,10000000000000000000,2048,10000000000000000000,4096,169,169,0.162405,0.162405,0.0,0.0,8.389,8.389,0.0,0.0,3.030397627156985,3.030397627156985,0.0,0.9360958562156765,0.8798686062881277,0.06390414378432352,0.12013139371187236,0.056227249927548816,False,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000,4096,10000000000000000000,8192,169,168,0.162405,0.162405,0.0,0.0,8.389,6.291,-2.097999999999999,-0.250089402789367,3.030397627156985,3.0877660039358146,0.05736837677882978,0.8798686062881277,0.7855048177628823,0.12013139371187236,0.21449518223711772,0.09436378852524538,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000,8192,10000000000000000000,32768,168,167,0.162405,0.162405,0.0,0.0,6.291,4.194,-2.0970000000000004,-0.33333333333333337,3.0877660039358146,3.1768463777891194,0.0890803738533048,0.7855048177628823,0.4779505480499618,0.21449518223711772,0.5220494519500383,0.30755426971292055,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000,32768,10000000000000000000,131072,167,13,0.162405,0.070542,-0.091863,-0.5656414519257412,4.194,4.194,0.0,0.0,3.1768463777891194,3.392088334710602,0.21524195692148274,0.4779505480499618,0.18625211085725638,0.5220494519500383,0.8137478891427437,0.2916984371927054,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000000,2048,10000000000000000000000,4096,1043,1036,6.86104,6.86104,0.0,0.0,226.492,211.812,-14.679999999999978,-0.06481465129011166,2.1456111666541906,2.150758613533873,0.0051474468796826045,0.9360958562156765,0.8798686062881277,0.06390414378432352,0.12013139371187236,0.056227249927548816,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000000,4096,10000000000000000000000,8192,1036,1025,6.86104,6.86104,0.0,0.0,211.812,188.744,-23.068000000000012,-0.10890789945800994,2.150758613533873,2.159845165552461,0.009086552018587657,0.8798686062881277,0.7855048177628823,0.12013139371187236,0.21449518223711772,0.09436378852524538,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000000,8192,10000000000000000000000,32768,1025,917,6.86104,2.782831,-4.078209,-0.5944009946014015,188.744,285.213,96.46900000000002,0.511110286949519,2.159845165552461,2.194660077531802,0.03481491197934128,0.7855048177628823,0.4779505480499618,0.21449518223711772,0.5220494519500383,0.30755426971292055,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,10000000000000000000000,32768,10000000000000000000000,131072,917,834,2.782831,2.782831,0.0,0.0,285.213,111.149,-174.06400000000002,-0.6102947621602102,2.194660077531802,2.271590563800825,0.07693048626902277,0.4779505480499618,0.18625211085725638,0.5220494519500383,0.8137478891427437,0.2916984371927054,True,False,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,1000000000000000000000000,2048,1000000000000000000000000,4096,1232,1232,11.965825,11.965825,0.0,0.0,299.893,299.893,0.0,0.0,2.093379471491827,2.093379471491827,0.0,0.9360958562156765,0.8798686062881277,0.06390414378432352,0.12013139371187236,0.056227249927548816,False,True,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,1000000000000000000000000,4096,1000000000000000000000000,8192,1232,1232,11.965825,11.965825,0.0,0.0,299.893,299.893,0.0,0.0,2.093379471491827,2.093379471491827,0.0,0.8798686062881277,0.7855048177628823,0.12013139371187236,0.21449518223711772,0.09436378852524538,False,True,descriptive pairwise change only; not inferential structural transition
context_at_fixed_budget,1000000000000000000000000,8192,1000000000000000000000000,32768,1232,1232,11.965825,11.965825,0.0,0.0,299.893,299.893,0.0,0.0,2.093379471491827,2.093379471491827,0.0,0.7855048177628823,0.4779505480499618,0.21449518223711772,0.5220494519500383,0.30755426971292055,False,True,descriptive pairwise change only; not inferential structural transition
