model_repo,B12_model_size,N_params_B,n_checkpoints,D_tokens_B_min,D_tokens_B_median,D_tokens_B_max,dLoss_dN_per_B_params_median,dLoss_dN_per_B_params_checkpoint_p10,dLoss_dN_per_B_params_checkpoint_p90,dLoss_dN_per_B_params_median_lower_95,dLoss_dN_per_B_params_median_upper_95,dLoss_dD_per_B_tokens_median,dLoss_dD_per_B_tokens_checkpoint_p10,dLoss_dD_per_B_tokens_checkpoint_p90,dLoss_dD_per_B_tokens_median_lower_95,dLoss_dD_per_B_tokens_median_upper_95,elasticity_N_median,elasticity_N_checkpoint_p10,elasticity_N_checkpoint_p90,elasticity_N_median_lower_95,elasticity_N_median_upper_95,elasticity_D_median,elasticity_D_checkpoint_p10,elasticity_D_checkpoint_p90,elasticity_D_median_lower_95,elasticity_D_median_upper_95
EleutherAI/pythia-70m,70m,0.070542,147,0.134,146.801,299.893,-4.20224282641,-4.20224282641,-4.20224282641,-4.20386104732,-4.20130964971,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.103334016224,-0.105090079073,-0.0965723881819,-0.103370013387,-0.103312214614,-0.0299496667723,-0.0463036551051,-0.0257023714229,-0.0299542107013,-0.0299438608543
EleutherAI/pythia-160m,160m,0.162405,147,0.134,146.801,299.893,-1.37469529058,-1.37469529058,-1.37469529058,-1.37506214844,-1.3745431764,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0841381787748,-0.085686146273,-0.0782174790692,-0.0841598559353,-0.0841279906002,-0.032379106858,-0.049795307282,-0.0278256396095,-0.0323841990947,-0.0323728709711
EleutherAI/pythia-410m,410m,0.409009,147,0.134,146.801,299.893,-0.398746597852,-0.398746597852,-0.398746597852,-0.398798158379,-0.398714925604,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0658557166247,-0.0671556166309,-0.0609152311007,-0.0658644173881,-0.0658513395833,-0.034692949457,-0.0530867031062,-0.0298533359482,-0.0346986144988,-0.0346862692114
EleutherAI/pythia-1b,1b,1.040867,147,0.134,146.801,299.893,-0.114056202502,-0.114056202502,-0.114056202502,-0.114068265418,-0.114041593909,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.050604814288,-0.0516604147521,-0.0466139058053,-0.0506095669997,-0.0505986638369,-0.0366231154931,-0.0558072288769,-0.031548892649,-0.0366292458525,-0.0366160357265
EleutherAI/pythia-1.4b,1.4b,1.416184,147,0.134,146.801,299.893,-0.0754972764266,-0.0754972764266,-0.0754972764266,-0.0755075380624,-0.0754835041024,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0462595708043,-0.0472393277251,-0.04256094772,-0.0462656257621,-0.0462512407046,-0.0371730528808,-0.0565782176915,-0.0320326684484,-0.0371792809863,-0.037165848027
EleutherAI/pythia-2.8b,2.8b,2.782831,147,0.134,146.801,299.893,-0.0305369863429,-0.0305369863429,-0.0305369863429,-0.0305421764327,-0.0305323025069,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0378234886075,-0.0386480833203,-0.0347196362038,-0.0378300669862,-0.0378175579222,-0.0382407299909,-0.058069858608,-0.0329727621591,-0.0382470898186,-0.0382332797582
EleutherAI/pythia-6.9b,6.9b,6.86104,147,0.134,146.801,299.893,-0.00911349948774,-0.00911349948774,-0.00911349948774,-0.00911632818318,-0.00911125298947,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0286734617905,-0.0293179312563,-0.0262552334488,-0.0286827922286,-0.0286662136029,-0.0393987644863,-0.059680027279,-0.0339937105575,-0.0394050944046,-0.0393910950549
EleutherAI/pythia-12b,12b,11.965825,147,0.134,146.801,299.893,-0.00432524007199,-0.00432524007199,-0.00432524007199,-0.00432679856986,-0.00432385134586,-0.000585259651778,-0.00585627186286,-0.000269248798808,-0.000585353093444,-0.000585145907752,-0.0240832376559,-0.0246327001471,-0.0220247469892,-0.0240925360268,-0.024075326571,-0.0399797068153,-0.0604847846275,-0.0345063902157,-0.0399859399023,-0.039971940996
