model_form,omitted_trajectory,budget_flops,context_length_tokens,original_full_m0_run_id,same_form_full_fit_run_id,selected_run_id,selected_grid_id,selected_N_B,selected_D_B,predicted_loss,cost_flops,feasible_grid_points,selected_trajectory_id,matches_original_full_m0,matches_same_form_full_fit,selected_point_is_omitted_trajectory,selected_N_outside_training_range,training_N_min_B,training_N_max_B
m0_shared_exponent,EleutherAI/pythia-160m,1000000000000000000000000,4096,1232,1232,1232,1232,11.965825,299.893,2.08674234762,2.44704752351e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-160m,1000000000000000000000000,8192,1232,1232,1232,1232,11.965825,299.893,2.08674234762,2.74101475299e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-160m,1000000000000000000000000,32768,1232,1232,1232,1232,11.965825,299.893,2.08674234762,4.50481812987e+22,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_shared_exponent,EleutherAI/pythia-160m,1000000000000000000000000,131072,1232,1232,1232,1232,11.965825,299.893,2.08674234762,1.15600316374e+23,1176,EleutherAI/pythia-12b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000,2048,169,169,169,169,0.162405,8.389,3.0303926449,8.73253867723e+18,39,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000,4096,169,169,169,169,0.162405,8.389,3.0303926449,9.29058408446e+18,36,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000,8192,168,168,168,168,0.162405,6.291,3.08776070462,7.80407578843e+18,34,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000,32768,167,167,167,167,0.162405,4.194,3.17684081118,8.55059050915e+18,27,EleutherAI/pythia-160m,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000,131072,13,13,13,13,0.070542,4.194,3.39208233696,9.53073165093e+18,16,EleutherAI/pythia-70m,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000000,2048,1043,1043,1043,1043,6.86104,226.492,2.14561259814,9.9603304172e+21,1060,EleutherAI/pythia-6.9b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000000,4096,1036,1036,1036,1036,6.86104,211.812,2.15075988943,9.91000652207e+21,1049,EleutherAI/pythia-6.9b,True,True,False,False,0.070542,11.965825
m0_current,EleutherAI/pythia-410m,10000000000000000000000,8192,1025,1025,1025,1025,6.86104,188.744,2.15984617281,9.89157625371e+21,1032,EleutherAI/pythia-6.9b,True,True,False,False,0.070542,11.965825
