source,n,Q_reference_median,N_min_B,N_max_B,D_min_B,D_max_B,Q_min,Q_max,E,A,alpha,B,beta,kappa,in_sample_RMSE,in_sample_MAE,LOO_Q_RMSE,LOO_Q_MAE,LOO_Q_levels,multistart_attempts,multistart_successful,near_optimal_count,near_optimal_parameter_spans_json,boundary_hits,boundary_hit_count,relative_SSE_spread,interpretation
B6_semi_synthetic,360,0.5,0.07,11.97,10.0,600.0,0.1,1.0,0.4117716998080346,0.5401730266263162,0.2790539072016763,2.209348685566323,0.06990223992645664,0.08503303627046628,0.07247113080333008,0.05634348539712657,0.08984020274775838,0.06903741595910634,8,6,6,6,"{""E"": {""min"": 0.4117525818418064, ""max"": 0.4117814558545991, ""absolute_span"": 2.887401279266788e-05, ""relative_span"": 7.012152659512779e-05}, ""A"": {""min"": 0.5401730110020074, ""max"": 0.5401730822663123, ""absolute_span"": 7.126430490167479e-08, ""relative_span"": 1.3192866095551844e-07}, ""alpha"": {""min"": 0.2790538833987099, ""max"": 0.2790539138414683, ""absolute_span"": 3.044275842523092e-08, ""relative_span"": 1.0909275207624228e-07}, ""B"": {""min"": 2.209339321254979, ""max"": 2.2093669848176347, ""absolute_span"": 2.7663562655710905e-05, ""relative_span"": 1.2521135202860512e-05}, ""beta"": {""min"": 0.06990143653630497, ""max"": 0.069902650541528, ""absolute_span"": 1.2140052230297238e-06, ""relative_span"": 1.7367191289655318e-05}, ""kappa"": {""min"": 0.08503207770737028, ""max"": 0.08503352714067758, ""absolute_span"": 1.449433307293413e-06, ""relative_span"": 1.704554292620286e-05}}",none,0,2.3244449948700962e-12,semi-synthetic/calibrated source-specific full curve; not real B1 effect
B8_calibrated,984,0.55,0.07,12.0,5.0,2000.0,0.05,1.0,0.08468771877027027,0.3591794076038419,0.33544179265825486,1.2828397627701762,0.056902559782728214,-1.1782546112922623,0.06366933578133117,0.049749748200579307,0.07036367769958288,0.05368767985956287,12,6,6,6,"{""E"": {""min"": 0.08468771013726502, ""max"": 0.08468775857845098, ""absolute_span"": 4.8441185965253375e-08, ""relative_span"": 5.719977389392367e-07}, ""A"": {""min"": 0.35917939981259855, ""max"": 0.3591794092750958, ""absolute_span"": 9.462497230217082e-09, ""relative_span"": 2.6344765406864368e-08}, ""alpha"": {""min"": 0.3354417913977202, ""max"": 0.3354417984698992, ""absolute_span"": 7.072179009082191e-09, ""relative_span"": 2.108317795247706e-08}, ""B"": {""min"": 1.2828397154271889, ""max"": 1.282839776171141, ""absolute_span"": 6.074395209054728e-08, ""relative_span"": 4.735116113355845e-08}, ""beta"": {""min"": 0.05690255893512131, ""max"": 0.05690256237796793, ""absolute_span"": 3.442846618906259e-09, ""relative_span"": 6.050424835885816e-08}, ""kappa"": {""min"": -1.1782546758010461, ""max"": -1.1782545941937013, ""absolute_span"": 8.160734488171784e-08, ""relative_span"": 6.926121374272331e-08}}",none,0,4.9208117799351e-14,semi-synthetic/calibrated source-specific full curve; not real B1 effect
B8_extrapolated_diagnostic_only,720,0.55,20.0,700.0,5.0,2000.0,0.05,1.0,0.26649489960340045,0.45120832498103686,0.2281708922641638,0.7866487570589157,0.06608358010173189,-1.8703107258543004,0.07188465458285972,0.05879066496229031,0.08747955255059538,0.07259864546899597,12,6,6,6,"{""E"": {""min"": 0.2664947045988945, ""max"": 0.26649489960340045, ""absolute_span"": 1.9500450593179508e-07, ""relative_span"": 7.317385205777763e-07}, ""A"": {""min"": 0.45120829785064354, ""max"": 0.4512083255337143, ""absolute_span"": 2.768307078016008e-08, ""relative_span"": 6.13531932673616e-08}, ""alpha"": {""min"": 0.22817058766508377, ""max"": 0.2281708922641638, ""absolute_span"": 3.04599080014345e-07, ""relative_span"": 1.3349611426259031e-06}, ""B"": {""min"": 0.786648737726619, ""max"": 0.7866487768602932, ""absolute_span"": 3.913367419006164e-08, ""relative_span"": 4.9747328513920857e-08}, ""beta"": {""min"": 0.06608357939591283, ""max"": 0.06608358075169567, ""absolute_span"": 1.3557828332233512e-09, ""relative_span"": 2.0516183166779327e-08}, ""kappa"": {""min"": -1.870310769781915, ""max"": -1.870310680750193, ""absolute_span"": 8.903172199481446e-08, ""relative_span"": 4.760263675046495e-08}}",none,0,2.1723846841041908e-14,semi-synthetic/calibrated source-specific full curve; not real B1 effect
