dataset,n,data_type,n_q_levels,n_matched_ND_cells,matched_slope_negative,matched_slope_zero,matched_slope_positive,median_matched_loss_slope_per_Q,pooled_spearman_Q_loss,mean_loss_lowest_Q,mean_loss_highest_Q
B6,360,semi_synthetic,8,45,45,0,0,-0.3408607198748045,-0.3239133658495706,2.7826266666666664,2.4562955555555557
B7,450,semi_synthetic,10,45,45,0,0,-0.33928484848485185,-0.29900774643558525,2.7826266666666664,2.4562955555555557
B8,984,calibrated,12,90,0,0,90,2.0278576451139734,0.9332570454774273,0.5757377777777778,2.4198166666666667
B8,720,extrapolated,12,60,0,0,60,1.8105074274139097,0.965990655247016,0.5,2.1600200000000003
