source_domain,field,candidate,n,n_within_0_01pp,match_rate,mean_absolute_error_pp,max_absolute_error_pp
commoncrawl,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,9640,9640,1.0,2.481467535951061e-07,5.00000000069889e-07
commoncrawl,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,9640,9640,1.0,2.438027161445559e-07,5.00000000069889e-07
commoncrawl,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,9640,9640,1.0,2.519881287439103e-07,5.00000002290335e-07
commoncrawl,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,9640,6,0.0006224066390041493,4.652110312406184,25.952306435594892
commoncrawl,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,9640,3394,0.3520746887966805,0.15806358803419626,7.844218524271838
commoncrawl,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,9640,5480,0.5684647302904564,4.6626086877204145,84.55497382198953
commoncrawl,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,9640,5480,0.5684647302904564,4.6626086877204145,84.55497382198953
commoncrawl,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,9640,336,0.034854771784232366,1.3766218722283803,33.911418327551225
commoncrawl,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,9640,9570,0.9927385892116183,0.0013537646611718054,2.095238301604045
commoncrawl,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,9640,9587,0.9945020746887967,0.001190136570343843,2.095238301604045
commoncrawl,rps_lines_uppercase_letter_fraction,calc_uppercase_char_weighted_pct,9640,21,0.002178423236514523,3.541933183518919,50.30142248073318
commoncrawl,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_all_lines_pct,9640,78,0.008091286307053943,0.2482896624208254,12.513605468795745
commoncrawl,rps_lines_uppercase_letter_fraction,calc_uppercase_mean_nonempty_lines_pct,9640,78,0.008091286307053943,0.2482896624208254,12.513605468795745
github,rps_doc_frac_chars_top_2gram,calc_rps_doc_frac_chars_top_2gram_pct,10000,2194,0.2194,0.39007400900000044,0.999692
github,rps_doc_frac_chars_top_3gram,calc_rps_doc_frac_chars_top_3gram_pct,10000,3605,0.3605,0.32261943430000023,0.99926
github,rps_doc_frac_no_alph_words,calc_complement_of_ascii_english_letter_character_fraction_pct,10000,10000,1.0,2.4810708052616094e-07,5.000000058430487e-07
github,rps_doc_frac_no_alph_words,calc_rps_doc_frac_no_alph_words_pct,10000,7,0.0007,12.319918336501887,51.59574468085107
github,rps_doc_frac_unique_words,calc_rps_doc_frac_unique_words_pct,10000,9532,0.9532,0.049998486245979634,20.57166482978723
github,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_all_lines_pct,10000,213,0.0213,21.429833896537843,100.0
github,rps_lines_ending_with_terminal_punctution_mark,calc_terminal_mean_nonempty_lines_pct,10000,222,0.0222,20.623900918581036,100.0
github,rps_lines_numerical_chars_fraction,calc_numerical_char_weighted_pct,10000,2867,0.2867,0.5347180970357474,36.610169491525426
github,rps_lines_numerical_chars_fraction,calc_numerical_mean_all_lines_pct,10000,2961,0.2961,0.406053859416841,23.333333333333332
github,rps_lines_numerical_chars_fraction,calc_numerical_mean_nonempty_lines_pct,10000,9909,0.9909,0.0020293949020098725,3.571428592436974
