component,estimate_index_points,hc3_se,ci95_low,ci95_high,share_of_observed_change_pct,interval_basis,descriptive_point_share_pct,inferential_share_status
scale_composition,-2.1407151167648095,0.10291979757983635,-2.342437920021289,-1.9389923135083302,,same HC3 covariance matrix; fixed early/late empirical covariate distributions,-180.57459253885372,ratio not stably identified; point share descriptive only
type_composition,1.2245187933463149,0.35068525668162237,0.5371756902503351,1.9118618964422947,,same HC3 covariance matrix; fixed early/late empirical covariate distributions,103.29117612755792,ratio not stably identified; point share descriptive only
month_fixed_effect,2.1016981632219416,2.249481586593979,-2.3072857465022576,6.510682072946141,,same HC3 covariance matrix; fixed early/late empirical covariate distributions,177.2834164113369,ratio not stably identified; point share descriptive only
non_scale_total,3.3262169565682562,2.2136142991993504,-1.0124670698624705,7.664900982998983,,same HC3 covariance matrix; fixed early/late empirical covariate distributions,280.5745925388948,ratio not stably identified; point share descriptive only
predicted_mean_change,1.185501839803447,2.2025994720577056,-3.1315931254296565,5.50259680503655,,same HC3 covariance matrix; fixed early/late empirical covariate distributions,100.00000000004108,ratio not stably identified; point share descriptive only
observed_mean_change,1.18550183980296,2.9396872360373476,-4.576285142830247,6.947288822436156,,HC3 two-group mean contrast on common-support endpoint records,,not_applicable
arithmetic_closure_residual,-4.869438186005937e-13,,,,,point arithmetic check only; endpoint month fixed effects make the fitted-sample group mean residual zero by OLS normal equations,,not_applicable
