mapping_scenario,q_scenario,split,model,n_recipes,macro_normalized_rmse,nested_macro_normalized_rmse,macro_mae,macro_rmse,macro_r2,delta_normalized_rmse_vs_linear,delta_normalized_rmse_vs_quadratic,delta_macro_rmse_vs_linear,delta_macro_rmse_vs_quadratic
direct_only,q_equal_candidate,test_1b,p_only_linear,64,5.30343686096083,,3.1287534865844315,3.1425674424033048,-778.5424616184303,0.0,0.2453883346862611,0.0,0.16561413267948266
direct_only,q_equal_candidate,test_1b,p_only_quadratic,64,5.058048526274569,,2.95827288697406,2.976953309723822,-666.610154670274,-0.2453883346862611,0.0,-0.16561413267948266,0.0
direct_only,q_equal_candidate,test_1b,p_plus_Qcovered,64,5.1197646901124605,,3.037365911568656,3.0430233783917324,-766.7430545129538,-0.18367217084836973,0.06171616383789136,-0.09954406401157234,0.06607006866791032
direct_only,q_equal_candidate,test_1m,p_only_linear,248,0.5917631966117682,,0.3779692518852521,0.44219046487471364,0.627374076715911,0.0,0.04020251307300293,0.0,0.02665137568250514
direct_only,q_equal_candidate,test_1m,p_only_quadratic,248,0.5515606835387653,,0.338299758878413,0.4155390891922085,0.6787430254056824,-0.04020251307300293,0.0,-0.02665137568250514,0.0
direct_only,q_equal_candidate,test_1m,p_plus_Qcovered,248,0.7305055248925917,,0.4700830903439594,0.5406134029963982,0.4373994671297075,0.13874232828082345,0.17894484135382638,0.09842293812168451,0.12507431380418965
direct_only,q_equal_candidate,test_60m,p_only_linear,248,2.4113288925839558,,1.4852942943409944,1.5302848945376746,-8.07895208355578,0.0,0.0321580274339186,0.0,0.02481344295403165
direct_only,q_equal_candidate,test_60m,p_only_quadratic,248,2.379170865150037,,1.4609574536238439,1.505471451583643,-7.802943777920542,-0.0321580274339186,0.0,-0.02481344295403165,0.0
direct_only,q_equal_candidate,test_60m,p_plus_Qcovered,248,2.3038418004641854,,1.4373368838242824,1.4906424019116247,-7.543724204413126,-0.10748709211977037,-0.07532906468585177,-0.03964249262604991,-0.014829049672018257
direct_only,q_equal_candidate,train_1m_nested_cv,p_only_linear,478,0.6276314473986325,0.6276280159564297,0.39904274222667085,0.4720482905150977,0.6062195342653793,0.0,0.03243974876169642,0.0,0.018407476061234773
direct_only,q_equal_candidate,train_1m_nested_cv,p_only_quadratic,478,0.5951916986369361,0.5951699820206279,0.3613781520903568,0.45364081445386295,0.6458516760911107,-0.03243974876169642,0.0,-0.018407476061234773,0.0
direct_only,q_equal_candidate,train_1m_nested_cv,p_plus_Qcovered,478,0.7532623276841213,0.7532531631942896,0.47791536833818515,0.5604504102435885,0.43302875363133864,0.12563088028548874,0.15807062904718516,0.08840211972849082,0.1068095957897256
direct_only,q_huber_candidate,test_1b,p_only_linear,64,5.30343686096083,,3.1287534865844315,3.1425674424033048,-778.5424616184303,0.0,0.2453883346862611,0.0,0.16561413267948266
direct_only,q_huber_candidate,test_1b,p_only_quadratic,64,5.058048526274569,,2.95827288697406,2.976953309723822,-666.610154670274,-0.2453883346862611,0.0,-0.16561413267948266,0.0
direct_only,q_huber_candidate,test_1b,p_plus_Qcovered,64,5.103581596489032,,3.0305277549112835,3.036226448394488,-767.0270625102065,-0.19985526447179858,0.04553307021446251,-0.10634099400881691,0.05927313867066575
direct_only,q_huber_candidate,test_1m,p_only_linear,248,0.5917631966117682,,0.3779692518852521,0.44219046487471364,0.627374076715911,0.0,0.04020251307300293,0.0,0.02665137568250514
direct_only,q_huber_candidate,test_1m,p_only_quadratic,248,0.5515606835387653,,0.338299758878413,0.4155390891922085,0.6787430254056824,-0.04020251307300293,0.0,-0.02665137568250514,0.0
direct_only,q_huber_candidate,test_1m,p_plus_Qcovered,248,0.7405372955194426,,0.4736602481320985,0.5470517603225077,0.4193424747998341,0.14877409890767435,0.18897661198067728,0.10486129544779405,0.13151267113029919
direct_only,q_huber_candidate,test_60m,p_only_linear,248,2.4113288925839558,,1.4852942943409944,1.5302848945376746,-8.07895208355578,0.0,0.0321580274339186,0.0,0.02481344295403165
direct_only,q_huber_candidate,test_60m,p_only_quadratic,248,2.379170865150037,,1.4609574536238439,1.505471451583643,-7.802943777920542,-0.0321580274339186,0.0,-0.02481344295403165,0.0
direct_only,q_huber_candidate,test_60m,p_plus_Qcovered,248,2.288622000852299,,1.4305098741482338,1.4839562530254657,-7.471673012563514,-0.12270689173165694,-0.09054886429773834,-0.046328641512208835,-0.021515198558177184
direct_only,q_huber_candidate,train_1m_nested_cv,p_only_linear,478,0.6276314473986325,0.6276280159564297,0.39904274222667085,0.4720482905150977,0.6062195342653793,0.0,0.03243974876169642,0.0,0.018407476061234773
direct_only,q_huber_candidate,train_1m_nested_cv,p_only_quadratic,478,0.5951916986369361,0.5951699820206279,0.3613781520903568,0.45364081445386295,0.6458516760911107,-0.03243974876169642,0.0,-0.018407476061234773,0.0
direct_only,q_huber_candidate,train_1m_nested_cv,p_plus_Qcovered,478,0.7633658841251619,0.7633536424748297,0.4822104490520633,0.5667369515496848,0.41768458556156485,0.1357344367265294,0.16817418548822582,0.09468866103458712,0.11309613709582189
direct_only,q_huber_exclude_7_frac_sensitivity,test_1b,p_only_linear,64,5.30343686096083,,3.1287534865844315,3.1425674424033048,-778.5424616184303,0.0,0.2453883346862611,0.0,0.16561413267948266
direct_only,q_huber_exclude_7_frac_sensitivity,test_1b,p_only_quadratic,64,5.058048526274569,,2.95827288697406,2.976953309723822,-666.610154670274,-0.2453883346862611,0.0,-0.16561413267948266,0.0
direct_only,q_huber_exclude_7_frac_sensitivity,test_1b,p_plus_Qcovered,64,5.093326028646157,,3.0249028488897585,3.0307160364593013,-772.4344007493112,-0.21011083231467342,0.035277502371587666,-0.11185140594400345,0.053762726735479216
direct_only,q_huber_exclude_7_frac_sensitivity,test_1m,p_only_linear,248,0.5917631966117682,,0.3779692518852521,0.44219046487471364,0.627374076715911,0.0,0.04020251307300293,0.0,0.02665137568250514
direct_only,q_huber_exclude_7_frac_sensitivity,test_1m,p_only_quadratic,248,0.5515606835387653,,0.338299758878413,0.4155390891922085,0.6787430254056824,-0.04020251307300293,0.0,-0.02665137568250514,0.0
direct_only,q_huber_exclude_7_frac_sensitivity,test_1m,p_plus_Qcovered,248,0.7632413086164868,,0.4866198692452576,0.5644764428379456,0.3739132785713076,0.17147811200471852,0.21168062507772145,0.12228597796323198,0.14893735364573712
direct_only,q_huber_exclude_7_frac_sensitivity,test_60m,p_only_linear,248,2.4113288925839558,,1.4852942943409944,1.5302848945376746,-8.07895208355578,0.0,0.0321580274339186,0.0,0.02481344295403165
direct_only,q_huber_exclude_7_frac_sensitivity,test_60m,p_only_quadratic,248,2.379170865150037,,1.4609574536238439,1.505471451583643,-7.802943777920542,-0.0321580274339186,0.0,-0.02481344295403165,0.0
direct_only,q_huber_exclude_7_frac_sensitivity,test_60m,p_plus_Qcovered,248,2.2799929877411302,,1.4248665849384199,1.47842852698373,-7.47568797117289,-0.13133590484282553,-0.09917787740890693,-0.051856367553944516,-0.027042924599912865
direct_only,q_huber_exclude_7_frac_sensitivity,train_1m_nested_cv,p_only_linear,478,0.6276314473986325,0.6276280159564297,0.39904274222667085,0.4720482905150977,0.6062195342653793,0.0,0.03243974876169642,0.0,0.018407476061234773
direct_only,q_huber_exclude_7_frac_sensitivity,train_1m_nested_cv,p_only_quadratic,478,0.5951916986369361,0.5951699820206279,0.3613781520903568,0.45364081445386295,0.6458516760911107,-0.03243974876169642,0.0,-0.018407476061234773,0.0
direct_only,q_huber_exclude_7_frac_sensitivity,train_1m_nested_cv,p_plus_Qcovered,478,0.7852151356302722,0.7852016503863706,0.4957406542764681,0.5830839293382998,0.3838022596039468,0.1575836882316397,0.19002343699333613,0.11103563882320205,0.12944311488443683
direct_only,q_huber_unicode_broad_sensitivity,test_1b,p_only_linear,64,5.30343686096083,,3.1287534865844315,3.1425674424033048,-778.5424616184303,0.0,0.2453883346862611,0.0,0.16561413267948266
direct_only,q_huber_unicode_broad_sensitivity,test_1b,p_only_quadratic,64,5.058048526274569,,2.95827288697406,2.976953309723822,-666.610154670274,-0.2453883346862611,0.0,-0.16561413267948266,0.0
direct_only,q_huber_unicode_broad_sensitivity,test_1b,p_plus_Qcovered,64,5.103593523733419,,3.0305332335131436,3.036231823144411,-767.0213165421039,-0.19984333722741088,0.04554499745885021,-0.10633561925889357,0.059278513420589096
direct_only,q_huber_unicode_broad_sensitivity,test_1m,p_only_linear,248,0.5917631966117682,,0.3779692518852521,0.44219046487471364,0.627374076715911,0.0,0.04020251307300293,0.0,0.02665137568250514
direct_only,q_huber_unicode_broad_sensitivity,test_1m,p_only_quadratic,248,0.5515606835387653,,0.338299758878413,0.4155390891922085,0.6787430254056824,-0.04020251307300293,0.0,-0.02665137568250514,0.0
