term,estimate,hc3_se,ci95_low,ci95_high,n_models,residual_df,reference_type,reference_month
intercept,23.592530744047863,4.564124748720631,14.646846236555428,32.5382152515403,202,195,chat_posttrained,2024-11
log10_params_B,32.14581167296063,3.4388087250457247,25.405746571871013,38.88587677405025,202,195,chat_posttrained,2024-11
type[domain_finetuned],-3.6436534934202975,4.221250596950327,-11.917304663442938,4.629997676602343,202,195,chat_posttrained,2024-11
type[merge],13.357457829768279,4.189599858144164,5.145842107805718,21.56907355173084,202,195,chat_posttrained,2024-11
type[other_rare],-5.327424515128675,4.432414919114114,-14.014957756592338,3.360108726334988,202,195,chat_posttrained,2024-11
type[pretrained],-2.6757894475540356,7.722748511722237,-17.81237653052962,12.46079763542155,202,195,chat_posttrained,2024-11
month[2025-03],1.3676066410019017,2.336094861236358,-3.2111392870213598,5.946352569025163,202,195,chat_posttrained,2024-11
