scenario,candidate,source_domain,all_a1_domain_score,scenario_domain_score,all_a1_rank_1_is_highest_score,scenario_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,all_a1_macro_domain_score,scenario_macro_domain_score,macro_delta
exclude_7_unit_ambiguous_fields,q_equal,arxiv,0.5320965357791057,0.5838002700334055,3.0,1.0,-2.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,book,0.4316026991517443,0.40877960074723596,6.0,6.0,0.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,c4,0.5705254959740866,0.5198758243229147,1.0,4.0,3.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,commoncrawl,0.5340113140988176,0.5261491378574856,2.0,3.0,1.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,github,0.40449680208832284,0.39269531859407714,7.0,7.0,0.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,stackexchange,0.5173367560072943,0.565441075007973,4.0,2.0,-2.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_equal,wikipedia,0.48349146724793535,0.4976308330386292,5.0,5.0,0.0,0.6785714285714287,0.4962230100496153,0.4991960085145316,0.002972998464916332
exclude_7_unit_ambiguous_fields,q_huber,arxiv,0.5613319908558356,0.6513836651552456,2.0,1.0,-1.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
exclude_7_unit_ambiguous_fields,q_huber,book,0.42874874466340707,0.39621873169446253,6.0,6.0,0.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
exclude_7_unit_ambiguous_fields,q_huber,c4,0.5767322748885473,0.5198456772499664,1.0,4.0,3.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
exclude_7_unit_ambiguous_fields,q_huber,commoncrawl,0.5359722946905645,0.5262473605676288,3.0,3.0,0.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
exclude_7_unit_ambiguous_fields,q_huber,github,0.3894803356606058,0.375167570567422,7.0,7.0,0.0,0.7500000000000002,0.49847810484764643,0.5038588427998096,0.005380737952163206
