scenario,a1_calibration_rows,huber_delta,weight_source,weight_l1_difference_from_all_a1,excluded_a1_unit_suspect_rows,run_status
unicode_strict_clean_a1,50802,0.3964524790437465,results\q1_2_conflict_model\contamination_sensitivity_official_strict,0.0010018390171737182,,computed
unicode_broad_clean_a1,50767,0.3964418180205215,results\q1_2_conflict_model\contamination_sensitivity_official_broad,0.0007881596486733963,,computed
unit_flagged_a1_excluded,51228,0.3965560209280822,Q1.1 recomputed after excluding any A1 unit_suspect_* row,5.673182548737721e-10,2,computed
weight_alpha_0.25,51230,0.3965543116163043,(A1 completeness × rank stability)^0.25,0.0007397409943138908,0,computed
weight_alpha_0.5,51230,0.3965543116163043,(A1 completeness × rank stability)^0.5,0.0,0,computed
weight_alpha_1,51230,0.3965543116163043,(A1 completeness × rank stability)^1,0.001471318764645374,0,computed
huber_delta_0.5x,51230,0.19827715580815214,all-A1 weights held fixed; delta multiplier sensitivity,0.0,0,computed
huber_delta_2x,51230,0.7931086232326086,all-A1 weights held fixed; delta multiplier sensitivity,0.0,0,computed
exclude_7_unit_ambiguous_fields,51230,0.3965543116163043,all-A1 weights restricted and renormalized over remaining indicators,,0,computed
