scenario,unicode_rule,source_domain,candidate,n_full_scored,n_unmarked_scored,n_marked_scored,full_domain_score,unmarked_domain_score,difference_unmarked_minus_full,ci_low,ci_high,bootstrap_repetitions,ci_method,full_rank_1_is_highest_score,unmarked_rank_1_is_highest_score,rank_shift,seven_domain_rank_spearman,full_seven_domain_macro,unmarked_seven_domain_macro,macro_delta_unmarked_minus_full
unicode_broad_clean_a1,broad_unicode,arxiv,q_equal,1419,1416,3,0.5321021754042565,0.532135313727748,3.313832349149948e-05,-6.946027278900143e-05,0.00011038929224014281,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",3.0,3.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,arxiv,q_huber,1419,1416,3,0.5612832361062718,0.5613488191225517,6.558301627990204e-05,-9.918808937072753e-05,0.00016904324293136596,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",2.0,2.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,book,q_equal,171,152,19,0.4317234929528393,0.43145952394053744,-0.00026396901230185676,-0.003304673731327055,0.003102976083755493,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",6.0,6.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,book,q_huber,171,152,19,0.42866589956467216,0.42779078215837707,-0.0008751174062950895,-0.005760867893695831,0.0038880929350852936,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",6.0,6.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,c4,q_equal,10000,9926,74,0.5705236232602093,0.5705275428143484,3.919554139031334e-06,-0.00013930052518844603,0.00014579445123672483,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",1.0,1.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,c4,q_huber,10000,9926,74,0.5766734722635736,0.5766863067756471,1.2834512073567339e-05,-0.0001483872532844543,0.0001725703477859493,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",1.0,1.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,commoncrawl,q_equal,9640,9373,267,0.5340168401826961,0.5345768219757243,0.0005599817930281858,0.0002714306116104126,0.0008291870355606074,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",2.0,2.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,commoncrawl,q_huber,9640,9373,267,0.5359728935937849,0.5365497208890222,0.0005768272952373366,0.0002788260579109192,0.0008654445409774778,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",3.0,3.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,github,q_equal,10000,9986,14,0.40449766415134825,0.4045179606580387,2.0296506690442584e-05,-3.49372625350952e-05,7.826238870620727e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",7.0,7.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,github,q_huber,10000,9986,14,0.38955625223162293,0.38957604943852964,1.979720690670206e-05,-4.4646859169006345e-05,8.119493722915642e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",7.0,7.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,stackexchange,q_equal,10000,9963,37,0.5173371268191307,0.517426341635522,8.921481639134754e-05,1.2810528278350838e-05,0.00016969889402389525,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",4.0,4.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,stackexchange,q_huber,10000,9963,37,0.5183630776258692,0.5184585006079008,9.542298203157884e-05,1.6207993030548103e-05,0.00017631202936172483,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",4.0,4.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
unicode_broad_clean_a1,broad_unicode,wikipedia,q_equal,10000,9951,49,0.48349082081726813,0.48349503050474674,4.209687478606838e-06,-7.59407877922058e-05,8.577257394790649e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",5.0,5.0,0.0,1.0,0.4962416776553926,0.49630550503666654,6.382738127391763e-05
unicode_broad_clean_a1,broad_unicode,wikipedia,q_huber,10000,9951,49,0.478681110118627,0.47866709622840453,-1.4013890222486225e-05,-0.00011093318462371824,7.897615432739258e-05,2000,"paired stratified percentile bootstrap; unmarked draw shared by subset and full estimate; 5,000-bin histogram",5.0,5.0,0.0,1.0,0.4984565630720602,0.49843961074577614,-1.695232628406984e-05
