scenario,dataset,source_domain,candidate,n_records,n_scored,scored_rate,mean_sample_score,median_sample_score,domain_huber_delta_from_a1,domain_score,saturation_at_0,saturation_at_1,mean_indicator_coverage
all_a1,a1,arxiv,q_equal,1419,1419,1.0,0.5309537345094659,0.5330069311205279,0.042772343580223186,0.5320965357791057,0.0,0.0,1.0
all_a1,a1,arxiv,q_huber,1419,1419,1.0,0.557533357775328,0.5645852969892697,0.06606868682625086,0.5613319908558356,0.0,0.0,1.0
all_a1,a1,book,q_equal,171,171,1.0,0.43039891389824364,0.43281336569774514,0.08176180550085387,0.4316026991517443,0.0,0.0,1.0
all_a1,a1,book,q_huber,171,171,1.0,0.4295801511175182,0.4219371913919705,0.11353282616335054,0.42874874466340707,0.0,0.0,1.0
all_a1,a1,c4,q_equal,10000,10000,1.0,0.5676765941466457,0.573914629266596,0.1229753931254563,0.5705254959740866,0.0,0.0,1.0
all_a1,a1,c4,q_huber,10000,10000,1.0,0.5710061148897193,0.5838645691712347,0.1313268938649077,0.5767322748885473,0.0,0.0,1.0
all_a1,a1,commoncrawl,q_equal,9640,9640,1.0,0.5297443554504307,0.5382295961592337,0.10943809426202179,0.5340113140988176,0.0,0.0,0.9999811391927574
all_a1,a1,commoncrawl,q_huber,9640,9640,1.0,0.5308705368066702,0.541441395827789,0.11742606399728127,0.5359722946905645,0.0,0.0,0.9999811391927574
all_a1,a1,github,q_equal,10000,10000,1.0,0.4041537047762419,0.4048845433400613,0.08651636395330399,0.40449680208832284,0.0,0.0,1.0
all_a1,a1,github,q_huber,10000,10000,1.0,0.3901391714373694,0.3885928458969641,0.09640248962543342,0.3894803356606058,0.0,0.0,1.0
all_a1,a1,stackexchange,q_equal,10000,10000,1.0,0.5150076849077941,0.5188299368070368,0.09050265449629823,0.5173367560072943,0.0,0.0,1.0
all_a1,a1,stackexchange,q_huber,10000,10000,1.0,0.5153367245547095,0.5207245020449456,0.09457337203560658,0.5183681310908792,0.0,0.0,1.0
all_a1,a1,wikipedia,q_equal,10000,10000,1.0,0.48305780593002084,0.48307434000834265,0.09988050192720736,0.48349146724793535,0.0,0.0,0.9999363636363636
all_a1,a1,wikipedia,q_huber,10000,10000,1.0,0.4774208555151423,0.4786771498190099,0.1146839871542882,0.4787129620836854,0.0,0.0,0.9999363636363636
all_a1,a2,arxiv,q_equal,17523,17523,1.0,0.5296808960417848,0.53157244214558,0.042772343580223186,0.5309591176048425,0.0,0.0,1.0
all_a1,a2,arxiv,q_huber,17523,17523,1.0,0.556024730548217,0.5627045335698551,0.06606868682625086,0.5599738811018025,0.0,0.0,1.0
all_a1,a3,github,q_equal,203752,203752,1.0,0.40372936944616167,0.4050262163955184,0.08651636395330399,0.40393716747452935,0.0,0.0,0.9999997769123963
all_a1,a3,github,q_huber,203752,203752,1.0,0.3896643545527362,0.3883957687317441,0.09640248962543342,0.38887178212072904,0.0,0.0,0.9999997769123963
