dataset,n,primary_huber_delta,clean_a1_huber_delta,median_abs_qh_change,p95_abs_qh_change,max_abs_qh_change,clean_weight_delta_q_median_a1
a1,51230,0.3965543116163043,0.3964418180205215,9.457749665919835e-05,0.0002164302985192989,0.0006519006052378984,-6.099784200680469e-05
a2,17523,0.3965543116163043,0.3964418180205215,0.00017258086040783382,0.0003153573457723266,0.00054586317032701,nan
a3,203752,0.3965543116163043,0.3964418180205215,9.939206747766605e-05,0.0002143690556298594,0.0006525926102654012,nan
