source,g_function,edge_id,edge_kind,bootstrap_replicates,both_feasible_replicates,boundary_replicates,configuration_change_frequency,configuration_change_95pct,cost_share_tv_p05,cost_share_change_frequency,delta_Q_median
B6,logarithmic,T11,adjacent_context,1000,1000,0,1.0,True,0.08879826960000008,1.0,0.007348177068660977
B6,logarithmic,T12,adjacent_context,1000,1000,0,1.0,True,0.08875594440000023,1.0,0.0025924043086046344
B6,logarithmic,T13,adjacent_context,1000,1000,0,1.0,True,0.29087015141376016,1.0,0.0033563575010818747
B6,logarithmic,T14,adjacent_context,1000,0,1000,nan,,nan,nan,nan
B6,logarithmic,T15,adjacent_context,1000,1000,0,1.0,True,0.05490213826945216,1.0,0.0
B6,logarithmic,T16,adjacent_context,1000,1000,0,1.0,True,0.09254091445291229,1.0,0.0
B6,logarithmic,T17,adjacent_context,1000,1000,0,1.0,True,0.3051479031748141,1.0,0.0
B6,logarithmic,T18,adjacent_context,1000,1000,0,1.0,True,0.28807200117289167,1.0,0.0
B6,logarithmic,T19,adjacent_context,1000,1000,0,0.0,False,0.05545981821786013,1.0,0.0
B6,logarithmic,T20,adjacent_context,1000,1000,0,0.0,False,0.09331037797573805,1.0,0.0
B6,logarithmic,T21,adjacent_context,1000,1000,0,0.0,False,0.30617684405541923,1.0,0.0
B6,logarithmic,T22,adjacent_context,1000,1000,0,0.0,False,0.2933333777961555,1.0,0.0
B8_calibrated,exponential,T01,adjacent_budget,1000,1000,0,1.0,True,6.245004513516506e-17,0.0,0.0
B8_calibrated,exponential,T02,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,exponential,T03,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,exponential,T04,adjacent_budget,1000,1000,0,1.0,True,0.0,0.0,0.0
B8_calibrated,exponential,T05,adjacent_budget,1000,1000,0,1.0,True,6.938893903907228e-17,0.0,0.0
B8_calibrated,exponential,T06,adjacent_budget,1000,1000,0,1.0,True,8.326672684688674e-17,0.0,0.0
B8_calibrated,exponential,T07,adjacent_budget,1000,1000,0,1.0,True,2.7755575615628914e-17,0.0,0.0
B8_calibrated,exponential,T08,adjacent_budget,1000,1000,0,1.0,True,5.551115123125783e-17,0.0,0.0
B8_calibrated,exponential,T09,adjacent_budget,1000,0,1000,nan,,nan,nan,nan
B8_calibrated,exponential,T10,adjacent_budget,1000,1000,0,1.0,True,2.7755575615628914e-17,0.0,0.0
B8_calibrated,exponential,T11,adjacent_context,1000,1000,0,0.0,False,0.05622724992754887,1.0,0.0
B8_calibrated,exponential,T12,adjacent_context,1000,1000,0,1.0,True,0.09436378852524532,1.0,0.0
B8_calibrated,exponential,T13,adjacent_context,1000,1000,0,1.0,True,0.30755426971292055,1.0,0.0
B8_calibrated,exponential,T14,adjacent_context,1000,0,1000,nan,,nan,nan,nan
B8_calibrated,exponential,T15,adjacent_context,1000,1000,0,1.0,True,0.05622724992754877,1.0,0.0
B8_calibrated,exponential,T16,adjacent_context,1000,1000,0,1.0,True,0.09436378852524535,1.0,0.0
B8_calibrated,exponential,T17,adjacent_context,1000,1000,0,1.0,True,0.3075542697129206,1.0,0.0
B8_calibrated,exponential,T18,adjacent_context,1000,1000,0,1.0,True,0.29169843719270533,1.0,0.0
B8_calibrated,exponential,T19,adjacent_context,1000,1000,0,0.0,False,0.05622724992754882,1.0,0.0
B8_calibrated,exponential,T20,adjacent_context,1000,1000,0,0.0,False,0.09436378852524538,1.0,0.0
B8_calibrated,exponential,T21,adjacent_context,1000,1000,0,0.0,False,0.3075542697129205,1.0,0.0
B8_calibrated,exponential,T22,adjacent_context,1000,1000,0,0.0,False,0.2916984371927054,1.0,0.0
