split,role,model,n_recipes,n_targets,macro_mae,macro_rmse,macro_normalized_rmse,macro_r2,macro_spearman_rho,worst_rmse_target,worst_rmse,nested_macro_normalized_rmse,mapping_scenario,q_scenario
train_1m_nested_cv,out_of_fold,p_only_linear,478,13,0.39904274222667085,0.4720482905150977,0.6276314473986325,0.6062195342653793,0.8265568028483289,metric/the_pile_dm_mathematics_val_loss,1.207369246260432,0.6276280159564297,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,478,13,0.3613781520903568,0.45364081445386295,0.5951916986369361,0.6458516760911107,0.824651449525512,metric/the_pile_dm_mathematics_val_loss,1.3468551231298977,0.5951699820206279,direct_only,shared_baseline
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,478,13,0.47791536833818515,0.5604504102435885,0.7532623276841213,0.43302875363133864,0.7408327649301969,metric/the_pile_dm_mathematics_val_loss,1.4939355012787634,0.7532531631942896,direct_only,q_equal_candidate
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,478,13,0.4822104490520633,0.5667369515496848,0.7633658841251619,0.41768458556156485,0.7410092159594137,metric/the_pile_dm_mathematics_val_loss,1.4947907484240186,0.7633536424748297,direct_only,q_huber_candidate
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,478,13,0.48219970978290055,0.5667227974455217,0.7633467512432077,0.4177138387174846,0.7410056830509397,metric/the_pile_dm_mathematics_val_loss,1.494788770073823,0.7633345098812614,direct_only,q_huber_unicode_broad_sensitivity
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,478,13,0.4957406542764681,0.5830839293382998,0.7852151356302722,0.3838022596039468,0.7397041189998184,metric/the_pile_dm_mathematics_val_loss,1.4969470148486075,0.7852016503863706,direct_only,q_huber_exclude_7_frac_sensitivity
train_1m_nested_cv,out_of_fold,p_only_linear,507,13,0.4133339684640246,0.49039442357049357,0.6302561211684742,0.6027103694500386,0.8230036383684015,metric/the_pile_dm_mathematics_val_loss,1.198054311504536,0.6301888701005939,direct_plus_near,shared_baseline
train_1m_nested_cv,out_of_fold,p_only_quadratic,507,13,0.37022197035217064,0.46288855651807154,0.5895343138983488,0.6522530622912478,0.8310137676458685,metric/the_pile_dm_mathematics_val_loss,1.3002510589435854,0.5894546772770323,direct_plus_near,shared_baseline
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,507,13,0.4867649520919749,0.5739142603269821,0.7463656938222344,0.44301627373607677,0.7418261512982661,metric/the_pile_dm_mathematics_val_loss,1.4984668789427025,0.7462325058114282,direct_plus_near,q_equal_candidate
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,507,13,0.49283768842971826,0.5800390035661268,0.7515292732826458,0.4355251753704185,0.7378410996052275,metric/the_pile_dm_mathematics_val_loss,1.5069031472799705,0.7514003947005758,direct_plus_near,q_huber_candidate
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,507,13,0.4928417615945306,0.5800403860771511,0.7515358483473681,0.4355153517040188,0.7378368214883634,metric/the_pile_dm_mathematics_val_loss,1.5069025939447724,0.7514069749622198,direct_plus_near,q_huber_unicode_broad_sensitivity
train_1m_nested_cv,out_of_fold,p_plus_Qcovered,507,13,0.5032465297827321,0.5907772519209863,0.7734787582284386,0.4022142638095686,0.7377787835916992,metric/the_pile_dm_mathematics_val_loss,1.5067963123292303,0.7733368515575633,direct_plus_near,q_huber_exclude_7_frac_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,248,13,0.3779692518852521,0.44219046487471364,0.5917631966117682,0.627374076715911,0.8365282792596331,metric/the_pile_dm_mathematics_val_loss,1.156774510528234,,direct_only,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,248,13,0.338299758878413,0.4155390891922085,0.5515606835387653,0.6787430254056824,0.8421000585458338,metric/the_pile_dm_mathematics_val_loss,1.2119792971598227,,direct_only,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,248,13,0.4700830903439594,0.5406134029963982,0.7305055248925917,0.4373994671297075,0.759561084171528,metric/the_pile_dm_mathematics_val_loss,1.5040394816910476,,direct_only,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,248,13,1.4852942943409944,1.5302848945376746,2.4113288925839558,-8.07895208355578,0.8339893363550746,metric/the_pile_github_val_loss,2.5558503463246054,,direct_only,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,248,13,1.4609574536238439,1.505471451583643,2.379170865150037,-7.802943777920542,0.8428132114356703,metric/the_pile_github_val_loss,2.512098328747511,,direct_only,q_equal_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,248,13,1.4373368838242824,1.4906424019116247,2.3038418004641854,-7.543724204413126,0.7512705002709423,metric/the_pile_github_val_loss,2.3399122557051304,,direct_only,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.1287534865844315,3.1425674424033048,5.30343686096083,-778.5424616184303,0.7374823894054662,metric/the_pile_github_val_loss,4.27863142725951,,direct_only,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.95827288697406,2.976953309723822,5.058048526274569,-666.610154670274,0.8022612003381233,metric/the_pile_github_val_loss,4.050686965949868,,direct_only,q_equal_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.037365911568656,3.0430233783917324,5.1197646901124605,-766.7430545129538,0.7252676810369117,metric/the_pile_github_val_loss,3.9756775499429144,,direct_only,q_equal_candidate
test_1m,heldout_same_scale_previously_seen,p_only_linear,248,13,0.3779692518852521,0.44219046487471364,0.5917631966117682,0.627374076715911,0.8365282792596331,metric/the_pile_dm_mathematics_val_loss,1.156774510528234,,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,248,13,0.338299758878413,0.4155390891922085,0.5515606835387653,0.6787430254056824,0.8421000585458338,metric/the_pile_dm_mathematics_val_loss,1.2119792971598227,,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,248,13,0.4736602481320985,0.5470517603225077,0.7405372955194426,0.4193424747998341,0.7604995483486068,metric/the_pile_dm_mathematics_val_loss,1.5039748271868052,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_linear,248,13,1.4852942943409944,1.5302848945376746,2.4113288925839558,-8.07895208355578,0.8339893363550746,metric/the_pile_github_val_loss,2.5558503463246054,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,248,13,1.4609574536238439,1.505471451583643,2.379170865150037,-7.802943777920542,0.8428132114356703,metric/the_pile_github_val_loss,2.512098328747511,,direct_only,q_huber_candidate
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,248,13,1.4305098741482338,1.4839562530254657,2.288622000852299,-7.471673012563514,0.7521492929655552,metric/the_pile_github_val_loss,2.2621495818922512,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.1287534865844315,3.1425674424033048,5.30343686096083,-778.5424616184303,0.7374823894054662,metric/the_pile_github_val_loss,4.27863142725951,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.95827288697406,2.976953309723822,5.058048526274569,-666.610154670274,0.8022612003381233,metric/the_pile_github_val_loss,4.050686965949868,,direct_only,q_huber_candidate
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.0305277549112835,3.036226448394488,5.103581596489032,-767.0270625102065,0.7248485488870103,metric/the_pile_github_val_loss,3.899251711286256,,direct_only,q_huber_candidate
test_1m,heldout_same_scale_previously_seen,p_only_linear,248,13,0.3779692518852521,0.44219046487471364,0.5917631966117682,0.627374076715911,0.8365282792596331,metric/the_pile_dm_mathematics_val_loss,1.156774510528234,,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,248,13,0.338299758878413,0.4155390891922085,0.5515606835387653,0.6787430254056824,0.8421000585458338,metric/the_pile_dm_mathematics_val_loss,1.2119792971598227,,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,248,13,0.4736512504382326,0.5470364378566033,0.7405173735795912,0.419381466544437,0.7605053581481166,metric/the_pile_dm_mathematics_val_loss,1.5039749398523008,,direct_only,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_linear,248,13,1.4852942943409944,1.5302848945376746,2.4113288925839558,-8.07895208355578,0.8339893363550746,metric/the_pile_github_val_loss,2.5558503463246054,,direct_only,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,248,13,1.4609574536238439,1.505471451583643,2.379170865150037,-7.802943777920542,0.8428132114356703,metric/the_pile_github_val_loss,2.512098328747511,,direct_only,q_huber_unicode_broad_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,248,13,1.4305153509291346,1.4839616979927126,2.2886329216089005,-7.471685510272345,0.7521537713526776,metric/the_pile_github_val_loss,2.2623418699638287,,direct_only,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.1287534865844315,3.1425674424033048,5.30343686096083,-778.5424616184303,0.7374823894054662,metric/the_pile_github_val_loss,4.27863142725951,,direct_only,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.95827288697406,2.976953309723822,5.058048526274569,-666.610154670274,0.8022612003381233,metric/the_pile_github_val_loss,4.050686965949868,,direct_only,q_huber_unicode_broad_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.0305332335131436,3.036231823144411,5.103593523733419,-767.0213165421039,0.7248485488870103,metric/the_pile_github_val_loss,3.8994406309533036,,direct_only,q_huber_unicode_broad_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_linear,248,13,0.3779692518852521,0.44219046487471364,0.5917631966117682,0.627374076715911,0.8365282792596331,metric/the_pile_dm_mathematics_val_loss,1.156774510528234,,direct_only,q_huber_exclude_7_frac_sensitivity
test_1m,heldout_same_scale_previously_seen,p_only_quadratic,248,13,0.338299758878413,0.4155390891922085,0.5515606835387653,0.6787430254056824,0.8421000585458338,metric/the_pile_dm_mathematics_val_loss,1.2119792971598227,,direct_only,q_huber_exclude_7_frac_sensitivity
test_1m,heldout_same_scale_previously_seen,p_plus_Qcovered,248,13,0.4866198692452576,0.5644764428379456,0.7632413086164868,0.3739132785713076,0.7618819175194869,metric/the_pile_dm_mathematics_val_loss,1.5040207950992805,,direct_only,q_huber_exclude_7_frac_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_linear,248,13,1.4852942943409944,1.5302848945376746,2.4113288925839558,-8.07895208355578,0.8339893363550746,metric/the_pile_github_val_loss,2.5558503463246054,,direct_only,q_huber_exclude_7_frac_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_only_quadratic,248,13,1.4609574536238439,1.505471451583643,2.379170865150037,-7.802943777920542,0.8428132114356703,metric/the_pile_github_val_loss,2.512098328747511,,direct_only,q_huber_exclude_7_frac_sensitivity
test_60m,heldout_cross_scale_previously_seen,p_plus_Qcovered,248,13,1.4248665849384199,1.47842852698373,2.2799929877411302,-7.47568797117289,0.7531321779013868,metric/the_pile_arxiv_val_loss,2.3224735467410866,,direct_only,q_huber_exclude_7_frac_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_linear,64,13,3.1287534865844315,3.1425674424033048,5.30343686096083,-778.5424616184303,0.7374823894054662,metric/the_pile_github_val_loss,4.27863142725951,,direct_only,q_huber_exclude_7_frac_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_only_quadratic,64,13,2.95827288697406,2.976953309723822,5.058048526274569,-666.610154670274,0.8022612003381233,metric/the_pile_github_val_loss,4.050686965949868,,direct_only,q_huber_exclude_7_frac_sensitivity
test_1b,heldout_cross_scale_previously_seen,p_plus_Qcovered,64,13,3.0249028488897585,3.0307160364593013,5.093326028646157,-772.4344007493112,0.7241018596787827,metric/the_pile_github_val_loss,3.7237709758864734,,direct_only,q_huber_exclude_7_frac_sensitivity
