context_length_tokens,candidate_count,C_sat_support_grid_flops,definition,low_budget_flops,low_feasible_count,low_feasible_share,low_remaining_candidates,low_budget_over_C_sat,low_status,mid_budget_flops,mid_feasible_count,mid_feasible_share,mid_remaining_candidates,mid_budget_over_C_sat,mid_status,high_budget_flops,high_feasible_count,high_feasible_share,high_remaining_candidates,high_budget_over_C_sat,high_status
2048,1176,23000639087744560000000,"max candidate cost over the 1,176 exact observed B1 points",10000000000000000000,39,0.0331632653061,1137,0.000434770527978,budget_screening,10000000000000000000000,1060,0.901360544218,116,0.434770527978,budget_screening,1000000000000000000000000,1176,1,0,43.4770527978,support_saturated
4096,1176,24470475235139120000000,"max candidate cost over the 1,176 exact observed B1 points",10000000000000000000,36,0.030612244898,1140,0.000408655733242,budget_screening,10000000000000000000000,1049,0.892006802721,127,0.408655733242,budget_screening,1000000000000000000000000,1176,1,0,40.8655733242,support_saturated
8192,1176,27410147529928240000000,"max candidate cost over the 1,176 exact observed B1 points",10000000000000000000,34,0.0289115646259,1142,0.000364828390255,budget_screening,10000000000000000000000,1032,0.877551020408,144,0.364828390255,budget_screening,1000000000000000000000000,1176,1,0,36.4828390255,support_saturated
32768,1176,45048181298662960000000,"max candidate cost over the 1,176 exact observed B1 points",10000000000000000000,27,0.0229591836735,1149,0.000221984544364,budget_screening,10000000000000000000000,969,0.823979591837,207,0.221984544364,budget_screening,1000000000000000000000000,1176,1,0,22.1984544364,support_saturated
131072,1176,115600316373601840000000,"max candidate cost over the 1,176 exact observed B1 points",10000000000000000000,16,0.0136054421769,1160,0.0000865049535650,budget_screening,10000000000000000000000,793,0.674319727891,383,0.0865049535650,budget_screening,1000000000000000000000000,1176,1,0,8.65049535650,support_saturated
