source,status,budget_flops,context_length_tokens,g_function,kappa_B1_anchored,selected_run_id,selected_N_B,selected_D_B,selected_Q,predicted_loss,C_train_flops,C_Q_flops,C_attn_flops,C_total_flops,budget_utilization,budget_slack_flops,Q_upper_affordable,selected_at_Q_boundary,p_setting,Q_mapping_assumption
B6,feasible,10000000000000000000000,8192,logarithmic,0.3830006502775433,1023,6.86104,184.549,1.0,2.0942586379771635,7.59718842576e+21,2.2466091631186015e+20,2.074538919460864e+21,9.896388261532725e+21,0.9896388261532725,1.0361173846727537e+20,1.0,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
B8_calibrated,feasible,10000000000000000000000,8192,logarithmic,-0.8193728642158753,1025,6.86104,188.744,0.4984781048,2.159845165552461,7.76988080256e+21,0.0,2.121695451152384e+21,9.891576253712383e+21,0.9891576253712383,1.0842374628761718e+20,0.697605642630826,True,B1 common mixture policy fixed; numeric 17-domain vector unavailable; p effect absorbed in M0 baseline,Q2 Q_score numerically identical to Q1 q_huber; unvalidated conditional scenario
