dataset,n,primary_huber_delta,clean_a1_huber_delta,median_abs_qh_change,p95_abs_qh_change,max_abs_qh_change,clean_weight_delta_q_median_a1
a1,51230,0.3965543116163043,0.3964524790437465,0.00013651894692756628,0.00034774543074131967,0.0010050722026839765,-8.282933939463e-05
a2,17523,0.3965543116163043,0.3964524790437465,0.00030967217114508117,0.0006183726277392051,0.0011055450246217902,nan
a3,203752,0.3965543116163043,0.3964524790437465,0.00020367870112458775,0.0003679835747439241,0.00100054153180551,nan
