scenario,dataset,source_domain,candidate,n,domain_score,all_a1_domain_score,delta_from_all_a1,a1_recalibrated_domain_delta,domain_delta_calibration_n,domain_delta_calibration_source
unicode_broad_clean_a1,a1,wikipedia,q_huber,10000,0.478681110118627,0.4787129620836854,-3.1851965058393716e-05,0.11499664776919032,9951,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a2,arxiv,q_equal,17523,0.5309637014541142,0.5309591176048425,4.58384927171096e-06,0.042546921693670275,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a2,arxiv,q_huber,17523,0.5599226208451196,0.5599738811018025,-5.126025668289458e-05,0.06599185960072025,1416,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a3,github,q_equal,203752,0.4039382750020071,0.40393716747452935,1.107527477728354e-06,0.08641783317065373,9986,A1 without broad Unicode integrity flags
unicode_broad_clean_a1,a3,github,q_huber,203752,0.3889460862020311,0.38887178212072904,7.430408130204569e-05,0.09633151547482602,9986,A1 without broad Unicode integrity flags
unit_flagged_a1_excluded,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,arxiv,q_huber,1419,0.5613314984439253,0.5613319908558356,-4.924119103577596e-07,0.06606860512169098,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,book,q_huber,171,0.4287486192914489,0.42874874466340707,-1.2537195814843471e-07,0.11353300079370972,171,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,c4,q_huber,10000,0.5767321992963854,0.5767322748885473,-7.559216186336926e-08,0.13132632540619252,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,commoncrawl,q_huber,9640,0.5359722377551837,0.5359722946905645,-5.6935380854383766e-08,0.11742595430876011,9640,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,github,q_huber,10000,0.38948057332602026,0.3894803356606058,2.3766541445979783e-07,0.09640160716612224,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,stackexchange,q_equal,10000,0.5173382094365611,0.5173367560072943,1.453429266717876e-06,0.09045238015264988,9998,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,stackexchange,q_huber,10000,0.5183688346817856,0.5183681310908792,7.035909064256884e-07,0.09455485951369202,9998,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a1,wikipedia,q_huber,10000,0.4787130576040841,0.4787129620836854,9.55203987018649e-08,0.11468360795452553,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a2,arxiv,q_huber,17523,0.5599733949669901,0.5599738811018025,-4.861348124052256e-07,0.06606860512169098,1419,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,A1 without any unit_suspect_* flag
unit_flagged_a1_excluded,a3,github,q_huber,203752,0.3888720212862875,0.38887178212072904,2.391655584688124e-07,0.09640160716612224,10000,A1 without any unit_suspect_* flag
weight_alpha_0.25,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_0.25,a1,arxiv,q_huber,1419,0.5614090891051422,0.5613319908558356,7.709824930657305e-05,0.06603982426963734,1419,all A1 records under this score scenario
weight_alpha_0.25,a1,book,q_equal,171,0.4316026991517443,0.4316026991517443,0.0,0.08176180550085387,171,all A1 records under this score scenario
weight_alpha_0.25,a1,book,q_huber,171,0.42881162015500784,0.42874874466340707,6.287549160077788e-05,0.11377333298833645,171,all A1 records under this score scenario
weight_alpha_0.25,a1,c4,q_equal,10000,0.5705254959740866,0.5705254959740866,0.0,0.1229753931254563,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,c4,q_huber,10000,0.5767199304934021,0.5767322748885473,-1.2344395145191811e-05,0.13136641761366827,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,commoncrawl,q_equal,9640,0.5340113140988176,0.5340113140988176,0.0,0.10943809426202179,9640,all A1 records under this score scenario
weight_alpha_0.25,a1,commoncrawl,q_huber,9640,0.5359899824784531,0.5359722946905645,1.7687787888576167e-05,0.11741128840306103,9640,all A1 records under this score scenario
weight_alpha_0.25,a1,github,q_equal,10000,0.40449680208832284,0.40449680208832284,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,github,q_huber,10000,0.3895100786681116,0.3894803356606058,2.974300750580028e-05,0.09635232457066026,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,stackexchange,q_equal,10000,0.5173367560072943,0.5173367560072943,0.0,0.09050265449629823,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,stackexchange,q_huber,10000,0.5183579069519428,0.5183681310908792,-1.0224138936365534e-05,0.09462766812889442,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,wikipedia,q_equal,10000,0.48349146724793535,0.48349146724793535,0.0,0.09988050192720736,10000,all A1 records under this score scenario
weight_alpha_0.25,a1,wikipedia,q_huber,10000,0.47868563503949524,0.4787129620836854,-2.7327044190172955e-05,0.11481243026158666,10000,all A1 records under this score scenario
weight_alpha_0.25,a2,arxiv,q_equal,17523,0.5309591176048425,0.5309591176048425,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_0.25,a2,arxiv,q_huber,17523,0.5600503223456652,0.5599738811018025,7.644124386274598e-05,0.06603982426963734,1419,all A1 records under this score scenario
weight_alpha_0.25,a3,github,q_equal,203752,0.40393716747452935,0.40393716747452935,0.0,0.08651636395330399,10000,all A1 records under this score scenario
weight_alpha_0.25,a3,github,q_huber,203752,0.38890070236793584,0.38887178212072904,2.8920247206798422e-05,0.09635232457066026,10000,all A1 records under this score scenario
weight_alpha_0.5,a1,arxiv,q_equal,1419,0.5320965357791057,0.5320965357791057,0.0,0.042772343580223186,1419,all A1 records under this score scenario
weight_alpha_0.5,a1,arxiv,q_huber,1419,0.5613319908558356,0.5613319908558356,0.0,0.06606868682625086,1419,all A1 records under this score scenario
